Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
17,fighting,689,675,446
17,mother,621,554,511
17,idea,611,582,526
18,country,3906,3664,2283
18,know,3326,3121,2165
18,world,3507,3257,2230
18,right,3146,2942,2081
18,going,2879,2694,1948
18,way,2277,2183,1685
18,thing,1918,1842,1483
18,come,1797,1746,1410
18,look,1698,1656,1356
18,really,1396,1345,1123
18,better,1176,1134,999
18,want,3239,3019,2109
18,need,4848,4476,2851
18,thats,984,961,816
18,wrong,802,769,687
19,american,4215,3860,1946
19,mask,3231,2748,1814
19,million,3087,2761,1861
19,realdonaldtrump,2484,2431,1271
19,face,1303,1251,1050
19,dead,1301,1197,917
19,died,2337,2183,1558
19,wear,804,700,595
19,n95,548,514,428
19,patient,2167,2000,1494
19,wearing,570,545,495
19,thousand,1035,1008,815
19,president,3570,3237,1757
19,comment,407,389,353
19,body,469,451,407
20,outbreak,2810,2673,1796
20,worker,3957,3494,2199
20,alberta,1238,1128,721
20,plant,1336,1140,825
20,ableg,1319,1315,571
20,amid,824,824,646
20,york,808,777,643
20,cargill,806,721,468
20,new,7355,6419,3349
20,meat,686,627,510
20,employee,762,717,616
20,abpoli,466,466,284
20,jkenney,490,478,314
20,city,1671,1514,1118
20,safety,921,891,759
