Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
mayor,463,447,385
hear,463,459,412
fox,463,435,361
potus,462,448,357
texas,461,408,339
released,461,450,409
hydroxychloroquine,460,445,374
congress,460,447,364
michigan,457,422,366
aid,457,423,393
happening,452,446,404
telling,449,443,407
reality,449,441,410
price,449,426,401
immunity,448,403,366
biggest,448,439,393
serious,447,430,399
kenney,447,425,289
north,446,429,362
event,445,420,400
physical,444,434,391
mass,444,428,392
night,442,424,390
international,442,431,375
doug,442,416,326
detail,441,436,406
meet,440,430,359
transmission,439,422,378
keeping,439,428,396
korea,438,380,332
guess,437,432,402
created,436,429,403
beach,436,376,351
available,436,427,391
asking,436,428,394
related,434,429,394
talking,433,422,394
racist,433,393,355
piece,433,424,388
taiwan,432,316,263
vp,430,394,351
department,430,412,360
wh,429,407,332
push,429,425,388
researcher,428,421,364
ill,428,420,391
parent,427,396,367
cuomo,427,387,315
agree,426,406,377
fuck,425,400,354
opportunity,424,412,376
agency,424,412,376
theory,423,410,376
inside,423,412,378
unemployment,422,403,368
moment,422,411,373
ignored,422,407,342
stupid,421,377,353
regime,421,397,277
huge,420,417,391
hoax,419,380,322
success,418,395,367
sense,417,408,367
loss,416,396,373
hell,416,411,371
general,416,408,375
cover,416,413,384
count,416,405,366
wonder,415,410,373
private,415,376,352
longer,415,398,377
meeting,414,393,369
false,414,390,361
largest,413,409,372
cure,413,385,347
turn,412,407,389
recovered,412,378,308
happy,412,400,377
ltc,411,360,284
tracing,410,367,332
refuse,410,405,373
date,410,389,352
name,409,395,355
los,409,319,157
begin,409,398,371
healthy,408,392,351
happened,407,388,360
following,407,400,375
comment,407,389,353
strategy,406,389,355
australia,406,372,318
four,405,388,362
advice,405,393,364
wife,404,397,354
organization,404,393,358
lock,404,394,346
absolutely,404,355,331
starting,402,395,379
list,402,378,350
financial,402,396,367
ventilator,401,388,339
later,401,394,370
forward,401,395,368
ensure,401,399,351
mom,400,341,329
wow,399,386,371
rise,399,391,352
senate,398,380,322
large,397,389,366
kushner,397,387,305
though,396,389,375
society,396,383,351
responsible,395,390,357
court,395,365,333
oil,394,337,300
il,394,339,207
address,394,391,357
interview,393,377,342
director,393,383,351
provincial,392,380,337
seeing,391,381,363
protester,391,371,321
ny,390,365,314
known,390,378,342
cottage,390,267,236
ce,389,346,201
agenda,389,375,334
qui,388,347,201
side,387,377,359
victim,386,372,339
proud,386,375,352
imagine,386,372,332
50,386,371,349
god,385,373,322
forced,385,382,362
exactly,385,382,360
covid19canada,385,379,290
air,385,366,340
13,385,369,342
individual,383,373,348
based,383,365,339
1000,383,363,338
hey,382,371,345
europe,382,357,320
bring,382,379,359
lied,380,367,338
killing,380,355,317
india,380,332,199
tomorrow,379,370,338
ten,377,374,351
five,377,350,322
send,376,371,353
politics,376,362,328
origin,376,367,318
voter,375,311,278
sector,375,352,331
protection,375,368,335
exposed,374,366,335
play,373,359,318
ready,371,366,343
late,371,361,340
jared,371,361,286
age,370,332,311
montreal,369,339,251
hate,369,340,319
fire,369,353,332
fall,369,364,328
reminder,368,367,352
active,368,329,275
room,366,361,334
massive,366,364,339
mind,365,362,342
ahead,365,363,343
men,364,331,301
view,363,348,275
thinking,363,357,332
info,363,354,324
crime,363,342,321
choice,363,349,326
cerb,362,312,256
capacity,362,356,323
russia,361,346,301
lying,361,355,308
running,360,353,332
effect,360,355,330
con,360,326,201
calgary,360,332,237
blood,360,306,283
literally,359,352,326
jail,359,316,284
paying,358,354,336
beginning,358,350,333
several,357,357,332
polqc,357,357,127
italy,357,328,285
loved,356,350,314
hundred,356,349,308
climate,356,325,276
weve,355,348,330
son,355,337,293
role,355,351,321
practice,355,352,331
leading,355,353,329
space,354,337,304
germany,354,337,303
common,354,341,318
9,354,341,323
ppl,353,298,267
chance,353,348,327
young,352,334,306
moving,352,350,333
idiot,352,349,308
fed,352,347,320
debt,352,329,302
currently,352,350,335
council,352,342,315
sweden,351,288,257
secretary,351,349,292
novel,351,348,310
account,351,343,326
strong,350,340,313
probably,350,349,331
authority,350,346,310
committee,349,324,300
brought,349,335,313
virtual,348,343,284
poor,348,327,300
covid19ab,346,343,211
union,345,325,294
journalist,345,329,309
remain,344,334,312
q,344,291,217
washington,343,334,298
hearing,343,334,309
fine,343,324,300
warned,342,337,315
torontostar,342,341,259
held,342,339,320
arrested,342,335,314
25,342,332,311
putting,341,337,322
offer,341,339,311
nyc,341,307,278
explain,341,335,318
antibody,341,298,271
within,340,332,308
finally,340,337,316
propaganda,339,323,300
military,339,317,294
center,339,335,301
spent,338,336,316
etc,338,323,298
six,337,333,310
mr,337,309,281
majority,337,326,308
hero,337,318,299
heard,337,332,314
amazing,337,324,306
vancouver,336,320,244
university,336,325,301
suffering,336,333,305
shit,336,332,306
led,336,332,312
eye,336,332,318
break,336,332,317
retweet,335,265,249
foreign,334,325,297
wage,333,299,282
shutdown,333,307,283
seriously,333,331,311
fucking,333,324,303
whats,332,323,307
tonight,332,325,299
november,332,324,283
light,332,321,302
pushing,331,328,311
owner,331,328,306
john,331,326,279
conference,331,311,278
average,331,280,265
attention,331,326,317
along,331,328,311
secret,330,300,272
excuse,329,326,298
80,328,317,304
mistake,327,309,290
shot,326,315,303
class,326,296,278
biden,326,301,269
approach,326,321,301
60000,325,315,284
legal,324,306,283
dear,324,324,304
concerned,324,312,302
senator,323,311,271
mcconnell,323,294,239
recent,322,321,303
n,321,282,223
interesting,321,317,304
gave,321,313,285
sunday,320,318,283
passed,320,318,291
yyc,319,318,165
slow,319,315,294
ok,319,300,284
linked,319,287,268
link,319,310,285
income,319,297,277
0,319,179,170
focus,318,314,295
experience,318,312,293
car,318,297,268
lose,317,312,293
fraud,317,299,258
statement,316,304,282
photo,315,305,288
illness,315,291,267
expect,315,298,282
helped,314,314,294
equipment,313,305,291
document,313,274,254
buy,313,293,280
window,312,273,252
v,312,274,252
began,312,304,286
charge,311,303,277
grocery,309,297,279
education,309,283,229
period,308,305,285
andrew,308,305,289
ucp,307,288,188
quickly,307,306,292
democracy,307,296,278
water,306,295,272
shortage,306,300,271
100000,306,298,271
june,305,298,282
beijing,305,299,267
site,304,298,278
québec,304,275,157
mark,304,279,263
bringing,304,292,267
trial,303,278,249
spending,303,290,283
saturday,303,302,273
gone,303,294,281
isolation,302,291,274
henry,302,297,208
example,302,301,289
rather,301,299,284
raise,301,296,279
mp,301,266,235
80000,301,295,262
treating,300,300,266
significant,300,297,281
gatewaypundit,300,300,207
create,300,295,278
facing,299,294,279
2000,299,293,274
worked,298,290,277
stephen,298,293,239
ne,297,278,170
game,297,282,265
effective,297,289,268
worth,296,289,278
west,296,293,268
tool,296,288,267
red,296,282,259
spoke,295,292,280
jan,295,233,198
arent,295,288,273
planning,294,288,275
france,294,269,233
bank,294,278,267
simple,293,293,275
sad,293,279,267
region,293,274,235
pretty,293,293,280
either,293,293,282
completely,293,284,265
analysis,292,288,270
18,292,289,265
valet,291,265,229
taxpayer,291,275,265
received,291,286,277
pas,291,290,268
racism,290,271,247
add,290,238,228
guidance,289,273,248
forget,289,280,269
finding,289,284,263
delay,289,288,272
block,289,288,267
wake,288,282,269
arrest,288,283,257
workplace,287,270,239
socialdistancing,287,283,251
par,287,260,160
maga,287,282,242
treat,286,276,254
profit,286,277,256
justice,286,269,252
incompetence,286,282,258
battle,286,285,268
1st,286,278,257
stigma,285,221,28
tv,284,274,258
showing,284,283,271
avoid,284,276,258
short,283,271,258
rally,283,265,227
figure,283,278,258
beyond,283,278,263
whistleblower,282,278,240
lawsuit,282,276,255
admin,282,274,256
vous,281,183,132
sound,281,269,258
green,281,269,256
responsibility,280,280,263
nobody,280,268,259
protecting,279,270,258
crowd,279,257,238
aide,279,239,216
16,279,274,260
physician,278,259,245
nous,278,209,135
drop,278,270,259
avec,278,264,175
absolute,278,276,247
worldwide,277,272,248
stock,277,263,249
negative,277,269,248
daughter,277,270,250
corrupt,277,265,245
17,277,271,262
saw,276,270,256
near,276,271,260
worried,275,268,252
town,275,268,221
stopped,275,273,258
earlier,275,269,257
double,275,271,255
truly,274,270,265
affected,274,271,250
win,273,265,257
virology,273,271,249
refused,273,248,215
pompeo,273,250,219
joe,273,256,237
elderly,273,256,233
speak,272,269,258
ndp,272,251,201
empty,272,263,239
complete,272,270,258
scientific,271,268,254
safely,271,260,244
pelosi,271,257,221
katie,270,228,195
interest,270,258,240
app,270,230,206
discus,269,268,248
abhealth,269,269,188
prayer,268,254,224
phone,268,260,251
indigenous,268,238,192
solution,267,261,250
note,267,266,258
coverage,267,263,229
consider,267,265,252
building,267,263,253
tuesday,266,264,237
staffer,266,259,236
parliament,266,263,247
nice,266,260,250
40,266,264,246
professional,265,258,247
prepare,265,258,248
distance,265,260,248
seem,264,263,251
river,264,261,236
respect,264,261,249
albertans,264,248,197
whose,263,261,246
walk,263,255,238
suggests,263,263,245
housing,263,228,206
watching,262,246,234
happens,262,260,251
clearly,262,261,246
baby,262,253,245
amazon,262,213,200
wish,261,256,241
teacher,261,236,207
staying,260,256,244
shift,260,254,249
remdesivir,260,227,206
mail,260,236,228
testifying,259,257,224
review,259,251,238
opinion,259,255,233
insurance,259,215,190
chain,259,253,239
andrewscheer,259,253,205
70000,259,255,242
seat,258,256,233
priority,258,250,234
playbook,258,248,226
picture,258,247,239
payment,258,230,214
ordered,258,251,236
ca,258,207,132
afraid,258,248,232
unemployed,257,249,235
straight,257,257,244
originated,257,246,223
waiting,256,251,233
phase,256,226,203
illegal,256,245,221
hiding,256,248,229
70,256,244,231
surgery,255,230,208
providing,255,254,239
dad,255,237,222
colleague,255,250,239
potential,253,250,235
growing,253,244,232
email,253,245,234
difficult,252,251,238
deep,252,248,230
sorry,251,248,235
production,251,235,225
partner,251,242,228
mortality,251,233,203
georgia,251,235,219
volunteer,250,231,213
violence,250,237,215
february,250,240,220
75,250,241,227
flight,249,210,194
damn,249,233,223
learning,248,230,210
whitehouse,247,241,203
track,247,238,227
simply,247,247,235
mandatory,247,238,222
disability,247,226,106
build,247,243,229
apart,247,245,236
23,247,242,229
season,246,221,214
judge,246,237,219
eu,246,213,183
church,246,222,205
tried,245,245,233
direct,245,244,206
canlab,245,245,201
supporting,244,242,224
meanwhile,244,244,230
danger,244,238,208
viral,243,238,189
rent,243,219,205
consequence,243,241,232
b,243,229,216
worry,242,230,219
struggling,242,241,232
sarscov2,242,237,188
energy,242,224,210
dy,242,232,218
aux,242,221,148
tracking,241,235,223
independent,241,234,225
homeless,241,218,196
george,241,236,215
board,241,236,226
accountable,241,239,216
2019,241,227,213
western,240,214,196
statistic,240,237,223
limit,240,234,222
cancer,240,228,207
basic,240,229,220
armed,240,235,222
sending,239,237,221
manitoba,239,212,145
blocking,239,238,219
bright,238,215,183
additional,238,236,222
often,237,233,220
leaked,237,234,213
la,237,202,110
increased,237,234,220
immediately,237,233,223
id,237,219,214
fda,237,223,204
deserve,237,228,211
chaotic,237,234,204
cbcnews,237,235,196
blue,237,221,204
3000,237,227,196
remove,236,235,223
midst,236,236,223
remains,235,234,219
german,235,231,224
summer,234,224,209
22,234,229,214
type,233,224,215
necessary,233,231,225
host,233,230,221
expected,233,226,213
changed,233,225,212
standard,232,218,211
holding,232,230,219
contract,232,226,215
book,232,213,205
thursday,231,226,211
protective,231,222,209
ont,231,210,166
reduce,230,228,218
animal,230,205,169
ongoing,229,220,205
er,229,203,191
devastating,229,229,220
vietnam,228,196,175
farmer,228,200,193
debate,228,209,195
sont,227,202,132
none,227,223,214
narrative,227,222,212
difference,227,222,206
civil,227,221,210
website,226,215,207
wanted,226,218,208
urgent,226,215,157
recently,226,225,218
reading,226,222,213
learned,226,225,220
bat,226,213,199
appears,226,224,213
wednesday,225,221,202
tip,225,220,205
prepared,225,219,213
complaint,225,218,199
xi,224,217,195
scared,224,217,207
russian,224,213,197
je,224,168,116
intel,224,203,194
include,224,222,213
driver,224,205,194
welcome,223,222,211
dealing,223,223,215
amount,223,219,200
third,222,219,204
meatpacking,222,217,197
exposure,222,220,210
dog,222,196,187
damage,222,221,214
coverup,222,197,183
birx,222,204,178
receive,221,218,207
reach,221,221,216
joebiden,221,214,191
jbs,221,168,148
immune,221,212,205
feeling,221,212,206
contain,221,220,210
easy,220,213,210
depression,220,217,203
catastrophic,220,220,198
antilockdown,220,218,200
activity,220,211,201
island,219,200,193
excellent,219,219,211
twice,218,215,205
stats,218,209,202
spike,218,213,203
perhaps,218,216,208
ivanka,218,174,155
hide,218,214,206
development,218,215,206
decided,218,216,212
conversation,218,212,198
broken,218,190,185
bit,218,210,205
career,217,210,209
adult,217,207,200
21,217,211,187
warns,216,215,204
respond,216,215,199
infectious,216,215,199
however,216,214,209
covering,216,207,193
offering,215,214,206
nova,215,211,177
msm,215,211,191
updated,214,212,187
unit,214,210,193
turned,214,210,201
opposition,214,211,176
okay,214,207,192
leaving,214,213,210
assistance,214,208,187
position,213,209,202
lowest,213,206,198
lower,213,207,200
letter,213,200,192
gathering,213,203,197
demanding,213,211,198
page,212,195,186
oversight,212,205,185
husband,212,200,192
door,212,205,195
donation,212,202,194
democratic,212,202,186
decade,212,208,200
throughout,211,211,207
projection,211,195,181
murder,211,207,198
immigrant,211,201,191
fast,211,208,200
exclusive,211,211,199
cancelled,211,196,187
r,210,175,152
hospitalized,210,203,189
combat,210,210,198
unless,209,207,199
shop,209,193,188
road,209,196,190
iowa,209,189,176
incompetent,209,208,196
tough,208,201,195
shes,208,185,179
institute,208,203,185
ceo,208,202,191
bed,208,206,200
apparently,208,207,195
wasnt,207,198,190
shelter,207,189,168
globeandmail,207,205,166
cbs,207,195,181
caught,207,206,196
asian,207,183,175
wrote,206,204,193
race,206,201,193
inquiry,206,161,149
flatten,206,205,190
crazy,205,203,193
continuing,205,204,196
ally,205,201,193
supporter,204,202,194
playing,204,199,196
multiple,204,202,195
flynn,204,196,178
cent,204,183,173
abuse,204,194,183
shared,203,202,193
setting,203,186,168
santé,203,188,128
plandemic,203,200,162
evil,203,197,188
continued,203,202,195
closure,203,201,194
45,203,199,189
survive,202,199,191
star,202,189,185
quite,202,200,193
perfect,202,198,190
johnson,202,191,171
executive,202,185,174
customer,202,195,182
confirms,202,200,187
anthony,202,199,186
allowing,202,201,191
zone,201,148,127
stage,201,190,183
process,201,200,195
losing,201,194,184
contagious,201,195,173
certain,201,194,184
africa,201,191,170
physicaldistancing,200,200,166
migrant,200,184,159
locked,200,188,177
golf,200,182,151
voice,199,194,180
vice,199,199,188
supposed,199,193,182
mitch,199,185,159
british,199,195,174
scotia,198,195,166
required,198,185,180
clinic,198,193,177
banned,198,194,185
approval,198,191,188
actual,198,196,189
2nd,198,196,184
200,198,196,181
wing,197,194,175
voting,197,180,161
hasnt,197,195,188
employer,197,190,178
speaking,196,195,187
fired,196,193,153
feed,196,193,190
feb,196,183,172
surprise,195,189,180
speech,195,189,177
sale,195,175,161
releasing,195,194,185
michael,195,177,169
icymi,195,195,153
fully,195,195,190
directly,195,195,184
ad,195,184,176
yeg,194,194,112
walking,194,186,177
terrible,194,182,174
foot,194,184,179
enjoy,194,193,182
card,194,182,178
billionaire,194,184,180
attempt,194,190,183
trade,193,172,162
proof,193,189,184
previous,193,185,175
network,193,185,179
goal,193,183,176
father,193,169,164
décès,193,168,100
90,193,188,181
31,193,192,179
