Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
18,world,3507,3257,3.14552,2230,17.43141
18,right,3146,2942,2.8413,2081,16.26671
18,going,2879,2694,2.60179,1948,15.22708
18,way,2277,2183,2.10828,1685,13.17127
18,thing,1918,1842,1.77895,1483,11.59228
18,come,1797,1746,1.68624,1410,11.02165
18,look,1698,1656,1.59932,1356,10.59955
18,really,1396,1345,1.29896,1123,8.77824
18,better,1176,1134,1.09519,999,7.80896
18,want,3239,3019,2.91567,2109,16.48558
18,need,4848,4476,4.3228,2851,22.28562
18,thats,984,961,0.92811,816,6.37849
18,wrong,802,769,0.74268,687,5.37012
19,american,4215,3860,3.72788,1946,15.21144
19,mask,3231,2748,2.65394,1814,14.17963
19,million,3087,2761,2.6665,1861,14.54702
19,realdonaldtrump,2484,2431,2.34779,1271,9.93512
19,face,1303,1251,1.20818,1050,8.20761
19,dead,1301,1197,1.15603,917,7.16798
19,died,2337,2183,2.10828,1558,12.17854
19,wear,804,700,0.67604,595,4.65098
19,n95,548,514,0.49641,428,3.34558
19,patient,2167,2000,1.93155,1494,11.67826
19,wearing,570,545,0.52635,495,3.8693
19,thousand,1035,1008,0.9735,815,6.37067
19,president,3570,3237,3.12621,1757,13.73407
19,comment,407,389,0.37569,353,2.75932
19,body,469,451,0.43556,407,3.18143
20,outbreak,2810,2673,2.58151,1796,14.03893
20,worker,3957,3494,3.37441,2199,17.18909
20,alberta,1238,1128,1.08939,721,5.63589
20,plant,1336,1140,1.10098,825,6.44884
20,ableg,1319,1315,1.26999,571,4.46338
20,amid,824,824,0.7958,646,5.04964
20,york,808,777,0.75041,643,5.02619
20,cargill,806,721,0.69632,468,3.65825
20,new,7355,6419,6.1993,3349,26.17838
20,meat,686,627,0.60554,510,3.98656
20,employee,762,717,0.69246,616,4.81513
20,abpoli,466,466,0.45005,284,2.21996
20,jkenney,490,478,0.46164,314,2.45447
20,city,1671,1514,1.46218,1118,8.73915
20,safety,921,891,0.8605,759,5.93293
