Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
love,726,693,623
force,724,707,627
fighting,723,695,456
seen,721,688,611
claim,721,706,606
voting,719,621,519
anything,715,708,632
information,714,690,604
trial,710,646,556
tax,710,629,537
instead,707,701,616
cost,706,670,591
true,705,693,613
voter,704,647,502
top,704,692,609
program,701,663,582
answer,701,689,608
learn,700,692,566
always,700,653,604
shut,699,683,616
morning,698,643,583
hour,697,663,594
might,695,683,619
billion,695,617,534
fund,694,653,571
florida,694,625,491
yesterday,693,674,595
ppe,693,641,565
power,692,653,580
15,692,662,595
middle,691,660,574
likely,691,679,600
relief,688,666,564
funding,688,631,564
citizen,688,641,563
cause,688,674,605
possible,683,674,601
failed,683,646,541
impact,682,663,565
dangerous,677,661,577
share,668,655,584
benefit,667,641,543
future,665,633,567
leadership,664,651,574
act,664,637,545
normal,662,610,539
old,660,630,570
security,655,633,536
little,655,637,577
yes,654,635,565
behind,654,597,526
worse,653,630,531
cnn,653,621,503
didnt,649,604,535
able,648,631,586
rt,646,630,529
killed,646,612,536
folk,646,642,577
20,646,637,566
theyre,644,598,523
reporting,642,627,526
au,640,532,266
calling,638,625,563
dying,636,609,530
campaign,636,620,532
supply,635,579,521
longterm,635,624,521
treatment,632,613,532
follow,630,623,548
continues,630,624,548
prison,629,542,441
youre,628,576,520
went,626,586,537
store,626,576,527
soon,626,622,546
level,626,583,516
justin,625,597,491
article,624,611,474
employee,622,569,515
office,621,585,537
deal,621,598,531
clear,621,609,558
facility,620,569,503
especially,619,615,554
sign,617,595,534
lead,616,610,533
tweet,612,591,523
truth,610,561,490
restaurant,609,588,533
save,608,595,527
police,608,564,493
join,608,597,532
scientist,605,592,497
past,605,601,544
tracing,604,563,476
according,604,602,527
guy,603,594,532
took,602,593,533
post,602,584,534
l,602,474,263
front,602,593,545
failure,602,577,491
handling,601,591,532
biden,601,552,427
allowed,601,597,539
threat,600,584,519
looking,598,590,552
nurse,597,535,467
golf,597,540,435
concern,597,581,506
mail,596,494,432
law,593,564,481
else,593,587,530
course,591,575,533
word,589,574,517
released,588,559,497
provide,588,575,478
asked,588,560,502
war,586,517,446
military,586,540,471
worst,584,560,508
talk,583,571,514
record,583,554,475
given,581,577,534
needed,580,574,522
warning,579,551,472
stayathome,579,566,450
idea,576,567,522
brazil,574,513,404
wont,573,557,509
become,573,563,514
visit,572,561,501
entire,572,568,516
living,571,536,493
paid,568,521,441
8,568,546,501
prime,567,553,457
ottawa,565,546,399
isnt,565,546,498
14,562,533,482
vulnerable,561,550,470
prevent,561,554,484
run,559,547,512
god,558,503,444
maybe,557,522,473
seems,555,544,499
low,555,541,478
usa,554,515,395
curve,554,516,463
trust,553,505,463
plus,550,506,377
move,549,536,497
michigan,549,517,423
24,549,514,453
india,548,461,311
quebec,546,507,396
protest,546,531,462
matter,546,527,480
guideline,545,527,462
attack,545,511,449
fall,543,534,475
ask,543,536,494
sur,542,449,242
organization,542,531,455
kill,541,532,473
situation,540,516,448
cuomo,540,467,359
7,539,532,450
cbc,537,519,389
heart,536,515,459
former,536,533,465
black,536,457,406
announced,536,530,474
south,535,514,451
related,535,517,456
message,535,527,482
poll,533,495,444
rest,531,525,478
here,531,530,490
sent,529,517,465
gate,525,491,384
single,524,511,467
name,523,475,438
bcpoli,522,520,247
huge,521,516,468
let,520,495,453
est,520,457,267
50,519,507,457
politician,518,511,458
texas,517,482,393
active,517,446,353
air,515,484,447
four,514,506,466
deadly,514,510,462
term,513,495,446
court,513,467,402
serious,510,501,464
fake,510,461,400
among,508,499,454
half,507,500,454
doug,507,484,385
current,506,502,469
remain,505,498,456
mother,504,483,449
different,504,490,452
racist,503,476,413
access,503,486,420
november,502,493,412
available,502,487,441
area,502,486,432
fox,501,434,361
online,500,477,426
mass,500,492,440
highest,500,478,429
senate,498,455,362
effect,498,486,444
charge,495,428,387
twitter,494,468,430
condition,494,478,427
youtube,492,479,327
society,492,462,426
set,492,482,437
physical,492,477,410
blame,492,443,401
outside,491,479,436
25,491,464,436
cure,490,458,405
return,489,471,428
agency,488,470,433
wait,487,477,448
advice,487,467,430
understand,484,474,443
provincial,484,453,389
try,482,477,437
industry,482,463,425
30,481,475,433
quarantine,479,455,416
epidemic,479,468,404
une,478,418,219
started,477,446,430
thread,475,469,394
11,475,468,422
listen,474,457,411
age,474,441,401
taiwan,471,337,269
june,471,458,410
happen,471,462,421
account,471,459,418
step,470,451,416
communist,470,459,356
county,469,403,346
weve,468,459,430
hold,468,463,416
longer,467,460,419
key,467,460,411
spreading,466,453,409
april,466,451,400
officer,465,447,395
kind,465,458,421
summer,464,447,404
release,464,451,396
elderly,464,415,366
space,463,435,389
icu,463,427,361
responsible,462,458,414
stand,459,445,406
freedom,459,430,370
fired,459,437,358
turn,458,455,414
reality,458,441,390
play,458,451,409
hear,458,445,417
bright,458,426,342
stupid,457,420,384
university,456,446,399
unemployment,456,440,389
talking,456,441,409
taken,456,454,415
major,456,451,418
chance,456,431,412
zero,454,420,385
large,454,449,421
hell,452,446,414
plant,451,396,357
moment,450,446,421
later,450,447,414
market,449,419,358
lab,448,426,377
demand,448,431,398
whether,447,438,405
there,447,426,396
agree,447,442,404
interview,446,423,377
hoax,446,407,362
13,445,429,395
seeing,444,435,398
parent,444,407,353
son,442,402,343
parliament,442,361,318
event,441,414,383
debt,441,379,334
based,440,424,400
strategy,439,431,394
keeping,439,417,359
higher,439,428,377
finally,439,435,408
came,439,428,403
opening,438,425,396
friday,438,433,388
lack,437,428,394
helping,437,431,387
ensure,436,433,372
begin,436,434,395
source,435,418,390
challenge,434,420,380
frontline,433,416,365
centre,433,415,364
hundred,432,414,378
mental,431,397,325
imagine,430,401,366
tam,429,407,346
spending,429,406,372
shit,429,413,372
cover,429,418,378
push,428,420,380
international,428,425,373
asking,428,354,327
body,427,417,378
mayor,426,408,370
financial,426,413,352
recovered,425,391,317
gone,425,420,392
absolutely,425,423,391
hong,424,373,262
california,424,396,332
resource,423,398,370
researcher,422,417,378
ready,422,417,380
count,422,397,358
wonder,421,418,378
john,421,413,375
virtual,420,411,357
investigation,420,379,345
whole,419,415,382
press,419,386,359
average,419,351,311
stock,418,388,334
ccp,418,374,251
poor,416,402,366
mind,416,407,373
street,415,371,345
exposed,415,402,366
model,414,391,350
lying,414,385,339
caused,414,394,362
practice,412,398,365
sense,411,399,381
happening,411,385,360
gathering,411,396,361
date,411,409,354
russia,410,381,336
telling,408,388,352
pa,405,347,205
head,405,396,375
safely,404,398,363
hate,403,352,315
dans,403,352,196
ignored,402,387,337
los,401,323,164
healthy,401,382,347
potus,399,388,309
kenney,399,350,269
critical,399,393,351
knew,397,359,331
break,397,388,354
40,397,389,362
conspiracy,393,376,330
buy,393,372,336
pushing,392,381,341
covid19ontario,392,390,257
60,391,361,317
mcconnell,390,375,304
list,390,376,357
etc,390,371,344
putting,389,385,357
kong,389,349,255
five,389,374,340
forced,388,375,355
happened,387,383,359
detail,386,385,354
stayhome,385,385,317
biggest,385,377,353
effective,383,377,351
forward,382,379,353
common,382,373,349
avoid,382,368,341
aid,382,366,321
side,381,372,343
game,381,370,344
giving,379,374,351
page,377,353,331
fine,377,361,342
alone,377,369,349
statement,376,367,332
protection,376,373,338
following,376,374,345
whats,375,365,341
senator,375,354,297
indigenous,375,330,256
guess,375,373,352
fraud,375,340,310
class,375,340,325
ahead,375,372,356
victim,374,366,326
tomorrow,374,372,344
qui,374,334,198
personal,374,359,322
joe,374,347,293
distance,374,370,351
car,374,354,330
incompetence,373,372,341
covering,373,336,303
con,373,320,182
wife,372,367,339
showing,372,349,330
playing,372,365,324
killing,372,366,340
recent,371,369,334
piece,371,361,334
linked,371,370,335
dollar,371,360,338
approach,371,352,319
antibody,371,336,301
several,370,366,346
rise,370,365,320
lock,370,362,313
worth,369,358,336
bring,369,362,346
ok,368,362,341
literally,368,367,340
activity,368,357,313
role,367,356,323
largest,367,356,323
climate,367,330,294
private,366,355,332
calgary,366,343,257
16,366,332,313
potential,365,361,335
info,365,361,311
sunday,364,356,322
running,364,348,323
massive,364,364,346
immunity,364,328,298
il,364,315,191
chief,364,353,309
meet,363,358,333
iran,363,309,110
ban,363,326,293
ill,362,356,335
six,361,355,331
ppl,360,302,268
majority,360,339,310
increased,360,350,330
opinion,359,348,315
grocery,359,345,329
90000,359,358,287
ucp,357,326,192
independent,357,348,316
covid19canada,357,356,270
authority,357,348,302
young,356,341,309
water,356,320,292
opportunity,356,348,328
exactly,356,352,330
education,356,335,292
ballot,356,323,283
starting,355,352,331
spent,355,333,313
earlier,355,343,316
along,355,350,322
ndp,354,314,232
though,352,350,334
thinking,351,340,324
comment,351,344,308
view,350,336,222
seriously,350,342,325
income,350,316,294
happy,350,323,308
sector,348,308,288
rally,348,323,285
focus,348,323,301
camp,348,320,299
began,348,340,313
21,348,334,293
criminal,346,329,296
allow,346,339,316
physicaldistancing,345,345,282
22,345,321,289
general,344,335,316
memorial,343,327,288
wow,342,332,315
negative,342,294,266
ltc,342,322,254
fucking,342,334,309
false,342,328,304
either,342,340,320
capacity,342,323,296
arent,342,337,319
ventilator,341,321,301
n95,340,316,291
sweden,339,289,243
politics,339,332,276
experience,339,328,303
special,338,330,306
lose,338,337,325
lied,338,326,290
italy,338,321,294
gave,338,335,320
crime,338,329,307
70,338,328,308
jkenney,337,333,231
inside,337,335,317
australia,337,318,273
hero,336,324,299
responsibility,335,328,304
night,335,329,304
refused,334,332,300
mr,334,292,260
idiot,334,326,293
flight,334,300,282
17,333,322,292
holding,332,322,297
hey,332,331,302
approved,332,323,301
18,332,314,294
wage,330,313,286
owner,330,319,299
treat,329,321,294
quickly,329,329,302
north,328,317,281
heard,328,323,307
cummings,328,301,132
worked,327,324,296
example,327,322,302
offer,326,316,299
crowd,326,315,291
beyond,326,325,290
fed,325,318,289
january,324,315,291
department,324,318,280
led,323,315,290
leading,323,316,296
illness,323,306,275
wish,322,317,299
short,322,321,307
blood,322,309,284
80,322,314,288
meeting,321,311,300
transmission,320,317,276
raise,320,317,298
loved,320,315,284
trudeaus,319,304,258
taxpayer,319,316,286
rather,319,318,299
complete,319,317,308
building,319,308,294
phone,318,303,284
inquiry,318,278,238
oil,317,283,250
held,317,310,286
committee,317,309,277
ce,317,275,164
received,316,311,281
ny,316,292,250
gun,315,284,265
congress,315,310,274
strong,314,302,275
sarscov2,314,304,247
explain,314,312,290
wisconsin,313,289,254
address,313,313,274
bank,312,278,259
1000,312,304,291
slow,311,309,291
reminder,311,311,289
regime,311,296,202
pretty,311,309,295
position,311,307,286
disability,311,287,154
photo,310,304,293
decade,310,305,282
speak,309,306,292
saturday,309,306,272
fuck,309,294,271
racism,308,293,265
add,308,305,290
pas,307,305,278
loss,307,295,274
interest,307,298,281
choice,307,280,270
phase,306,283,258
n,306,263,210
tv,305,298,262
mistake,305,301,284
link,305,296,272
judge,305,286,264
forget,305,301,288
drop,305,300,280
center,305,298,272
briefing,305,285,255
v,304,276,260
spike,304,298,266
monday,304,296,264
9,304,288,261
wake,303,295,279
survey,303,270,232
novel,303,300,272
late,303,299,274
korea,303,277,250
dear,303,302,272
clinical,303,296,280
shown,302,286,275
paul,301,290,267
include,301,301,285
beach,301,275,251
difficult,300,295,280
saw,299,295,263
review,299,293,273
individual,299,288,274
fully,299,299,280
fda,299,283,248
shutdown,298,291,258
refuse,298,285,264
currently,298,297,284
beginning,298,294,279
attention,298,293,275
flatten,297,287,256
door,297,272,261
democracy,297,287,268
saved,296,293,264
create,296,293,278
abpoli,296,295,200
win,295,280,261
region,295,283,254
consider,295,291,283
tonight,294,288,265
necessary,294,294,273
expect,294,293,269
secretary,293,284,249
trend,292,281,252
spoke,292,289,252
reporter,292,275,245
apart,292,283,271
infectious,291,285,271
tuesday,290,288,262
passed,290,288,268
henry,290,286,200
helped,290,285,269
within,288,282,268
retweet,288,286,253
completely,288,287,275
learning,287,263,217
georgia,287,276,244
hcq,286,234,191
minute,285,268,253
washington,284,280,251
reduce,284,276,260
playbook,284,259,225
andrew,284,275,243
wasnt,283,275,264
straight,283,283,270
period,283,277,257
partner,283,275,256
moving,283,281,265
locked,283,274,246
destroy,283,275,259
warned,282,279,242
remains,282,280,260
opposition,282,271,239
justice,282,278,257
deserve,282,259,245
dems,282,258,212
created,282,273,258
probably,281,278,266
men,281,257,250
jail,281,262,215
stigma,280,213,26
price,280,259,240
paper,280,262,250
mp,280,263,238
letter,280,272,260
2nd,280,269,261
montreal,279,260,191
green,279,260,246
developed,278,272,255
bar,278,256,241
avec,278,254,153
changed,277,271,253
build,277,273,260
lower,276,269,251
multiple,275,273,260
honor,275,271,247
golfing,275,263,226
concerned,275,267,251
cerb,275,252,220
whitmer,274,258,213
hearing,274,261,245
discus,274,273,242
foot,273,260,245
amazing,273,268,251
watching,272,249,238
option,272,257,242
director,272,243,226
polqc,271,270,94
send,270,269,255
fire,270,265,251
coverage,270,267,219
blaming,270,253,244
warns,269,268,232
simply,269,268,257
rich,269,262,238
respond,269,265,246
eye,269,263,244
agenda,269,259,227
website,268,262,238
torontostar,268,267,228
surge,268,224,208
note,268,266,247
contract,268,260,239
theory,267,261,231
interesting,267,266,249
facing,267,264,245
clearly,267,267,250
veteran,266,234,211
red,266,254,235
deep,266,258,241
figure,265,258,245
excuse,265,261,240
rent,264,225,203
often,264,263,246
b,264,261,238
ridiculous,263,255,246
daughter,263,260,247
vous,262,185,126
violence,262,234,216
stopped,262,257,248
project,262,244,233
misinformation,262,255,232
husband,262,250,232
corrupt,262,252,229
race,261,255,240
proud,261,256,237
near,261,260,245
development,261,257,245
guidance,260,247,217
c,260,229,200
survive,259,250,240
simple,259,259,249
europe,259,235,219
season,258,236,226
profit,258,252,229
par,258,238,148
ont,258,232,169
mike,258,257,240
expected,258,256,234
viral,257,250,199
room,257,250,236
difference,257,254,240
caught,257,238,225
affected,257,253,228
town,256,245,211
reach,256,256,242
nous,256,205,133
known,256,253,231
analysis,256,254,231
vancouver,255,233,178
paying,255,253,234
obamagate,255,245,197
dog,255,213,196
closing,255,238,215
trade,254,248,218
fast,254,252,241
drive,254,250,237
socialdistancing,253,252,220
dy,253,252,231
british,253,240,203
supporting,252,246,231
suicide,252,233,209
sending,252,250,233
sad,252,242,232
democratic,252,245,223
basic,252,242,226
track,251,242,229
realize,251,236,226
happens,251,250,242
task,250,233,220
harm,250,240,226
beat,250,247,234
thursday,249,239,217
staying,249,245,234
direct,249,248,216
suggests,248,248,235
seem,248,245,231
percent,248,204,191
network,248,236,219
france,248,236,206
energy,248,239,216
28,248,245,231
yyc,247,246,140
ten,247,246,232
accountable,247,242,211
mitch,246,244,219
illegal,246,240,217
greatest,246,246,233
aux,246,226,144
admin,246,239,213
23,246,231,215
tried,245,240,231
joebiden,245,242,206
bed,245,224,213
additional,245,238,210
90,245,239,217
solution,244,233,222
involved,244,244,234
worry,243,238,227
standard,243,238,230
providing,243,242,220
light,243,238,234
fatality,243,229,212
unless,242,234,222
karen,242,218,208
harper,242,229,206
council,242,236,210
ca,242,169,102
amazon,242,211,204
germany,241,232,210
customer,241,229,222
covid19ab,241,240,147
allowing,241,236,225
afraid,241,223,206
flag,240,236,217
damage,240,232,216
seat,239,229,206
limit,239,238,230
book,239,226,215
apply,239,223,201
africa,239,207,180
wanted,238,233,225
waiting,238,234,217
sorry,238,236,231
mark,238,234,223
father,238,215,204
struggling,237,232,222
process,237,229,222
pelosi,237,228,199
ne,237,217,155
teacher,236,224,187
stage,236,219,213
respect,236,228,222
removed,236,234,216
beijing,236,225,173
turned,235,233,220
sont,235,213,145
smart,235,227,206
mortality,235,224,206
meanwhile,235,235,218
truly,234,232,221
priority,234,223,213
miss,234,226,213
midst,234,233,215
immune,234,221,199
feeling,234,222,214
depression,234,229,218
attempt,234,232,224
worldwide,233,233,216
losing,233,228,219
disaster,233,226,211
london,232,225,190
lesson,231,231,218
45,231,221,197
whose,230,226,217
nytimes,230,230,186
develop,230,228,216
decided,230,229,217
david,230,226,211
bringing,230,223,208
1st,230,220,213
isolation,229,222,210
cancer,229,210,193
nobody,228,211,204
johnson,228,212,171
immediately,228,228,217
bit,228,223,211
announcement,228,226,214
sound,227,224,217
id,227,218,208
guard,227,211,192
doubt,227,218,204
animal,227,205,187
who,226,221,212
trip,226,186,176
equipment,226,224,215
colleague,226,225,213
wrote,225,225,215
whatever,225,223,218
surprise,225,207,197
propaganda,225,220,198
maga,225,225,203
totally,224,224,209
site,224,219,205
notice,224,213,207
none,224,217,208
hide,224,197,189
worried,223,215,204
suffering,223,222,209
sharing,223,220,207
earth,223,199,193
damn,223,219,211
corruption,223,218,210
medicine,222,215,203
foreign,222,213,200
albertans,222,210,168
airline,222,168,161
0,222,179,158
road,221,209,199
msm,221,216,195
moved,221,207,193
growing,221,216,207
nice,220,217,210
narrative,220,212,196
covidiots,220,217,186
2019,220,199,168
transit,219,199,182
syndrome,219,202,179
legal,219,216,199
greater,219,214,196
epidemiologist,219,215,206
dad,219,190,175
trillion,218,211,197
protecting,218,216,204
manafort,218,215,193
extended,218,215,207
eric,218,215,193
blue,218,210,196
apparently,218,216,207
supreme,217,211,191
success,217,213,199
perhaps,217,213,205
housing,217,193,177
domestic,217,209,200
cbcnews,217,216,165
walk,216,206,199
shame,216,203,190
rick,215,212,183
picture,215,211,197
goal,215,207,202
prepare,214,209,195
eu,214,205,172
budget,214,202,187
weather,213,211,197
lol,213,199,182
app,213,184,167
tip,212,204,180
spot,212,210,200
québec,212,194,120
however,212,211,202
hot,212,206,201
bullshit,212,211,196
as,212,206,201
unemployed,211,206,192
leaving,211,210,199
icymi,211,211,177
barack,211,211,199
throughout,210,207,196
mom,210,203,198
lake,210,199,187
la,210,178,81
hair,210,189,183
fun,210,189,182
baby,210,199,180
sale,209,192,180
ongoing,209,207,199
foxnews,209,206,155
ad,209,189,167
prepared,208,207,198
credit,208,200,195
abuse,208,196,188
resume,207,206,199
insurance,207,181,143
ignoring,207,205,195
hospitalized,207,202,186
target,206,204,186
q,206,186,166
published,206,198,187
production,206,200,191
declared,206,205,194
andrewscheer,206,205,169
actual,206,200,190
26,206,203,189
union,205,196,183
treated,205,198,182
terrible,205,194,182
scientific,205,203,192
journalist,205,203,190
immigration,205,178,168
failing,205,205,191
supposed,204,200,195
humanity,204,202,184
globeandmail,204,204,176
except,204,200,191
culture,204,197,181
couple,204,204,196
bike,204,151,113
proven,203,186,174
asymptomatic,203,193,179
setting,202,200,194
michael,202,193,178
columbia,202,178,168
civil,202,200,194
caput,202,195,180
theyve,201,197,192
significant,201,201,187
shop,201,193,187
salary,201,197,190
presidential,201,201,184
headline,201,193,185
consequence,201,196,186
cash,201,199,191
brought,201,199,188
asian,201,175,167
wednesday,200,200,192
wash,200,196,186
super,200,199,183
physician,200,188,171
art,200,180,170
sun,199,184,175
retirement,199,197,166
panel,199,193,182
facebook,199,184,174
easily,199,199,184
cold,199,189,183
chain,199,177,165
zealand,198,186,172
temporary,198,189,182
r,198,188,159
hall,198,195,166
definitely,198,197,191
commercial,198,185,168
shes,197,176,167
okay,197,188,181
host,197,193,180
everywhere,197,185,179
ending,197,153,148
combat,197,195,183
ceo,197,182,175
100k,197,195,173
western,196,191,182
supporter,196,189,172
protective,196,194,186
professional,196,193,188
manitoba,196,183,124
mandatory,196,189,180
ignore,196,196,192
easy,196,195,190
belief,196,194,181
announces,196,195,173
welcome,195,193,187
potentially,195,194,187
incompetent,195,194,186
e,195,163,64
danger,195,190,166
ab,195,172,150
voted,194,180,172
table,194,174,169
spend,194,194,187
opened,194,194,187
murder,194,192,180
continuing,194,192,185
bonnie,194,193,162
adult,194,182,171
unit,193,188,158
star,193,191,178
sitting,193,190,185
shortage,193,189,179
migrant,193,181,156
form,193,190,184
enemy,193,179,170
assistance,193,188,170
anymore,193,192,187
35,193,192,176
webinar,192,178,158
investment,192,183,166
crazy,192,189,185
wh,191,186,174
threatening,191,191,183
joke,191,180,170
intelligence,191,186,177
includes,191,191,173
finding,191,184,177
conversation,191,184,173
arrest,191,185,158
shelter,190,167,157
register,190,180,154
payment,190,179,170
lowest,190,181,171
immigrant,190,176,165
27,190,189,164
learned,189,186,179
issued,189,189,172
homeless,189,175,159
yeg,188,180,113
