Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
want,563,526,1.81417,463,7.54932
state,557,517,1.78313,425,6.92972
effective,556,508,1.75209,427,6.96233
community,556,503,1.73484,404,6.58731
much,554,512,1.76588,420,6.8482
keep,549,534,1.84176,448,7.30474
outbreak,548,507,1.74864,365,5.95141
social,545,535,1.84521,464,7.56563
infection,543,515,1.77623,421,6.8645
12,539,535,1.84521,450,7.33736
100,539,528,1.82107,451,7.35366
et,537,397,1.36925,210,3.4241
long,536,527,1.81762,457,7.45149
alberta,531,511,1.76243,337,5.49486
doug,526,515,1.77623,377,6.14707
china,515,342,1.17955,272,4.43502
measure,514,501,1.72794,404,6.58731
third,509,504,1.73829,430,7.01125
resident,509,481,1.65896,399,6.50579
15,509,507,1.74864,422,6.88081
end,505,449,1.5486,382,6.2286
rate,504,472,1.62792,390,6.35904
update,500,490,1.69,388,6.32643
never,495,478,1.64862,405,6.60362
bcpoli,493,493,1.70035,215,3.50563
world,492,467,1.61068,394,6.42426
ever,492,487,1.67966,421,6.8645
critical,491,403,1.38994,317,5.16876
continue,481,478,1.64862,420,6.8482
response,475,471,1.62447,412,6.71776
announcement,472,424,1.46237,334,5.44595
really,467,452,1.55894,379,6.17968
well,465,452,1.55894,391,6.37535
got,464,451,1.55549,396,6.45687
across,458,458,1.57964,409,6.66884
call,456,429,1.47962,382,6.2286
april,456,426,1.46927,356,5.80466
plan,455,437,1.50721,381,6.21229
stop,448,435,1.50031,370,6.03294
city,448,405,1.39684,341,5.56008
increase,447,380,1.31062,324,5.2829
control,447,437,1.50721,353,5.75575
support,446,413,1.42443,341,5.56008
doctor,440,388,1.33821,311,5.07093
trudeau,439,417,1.43823,290,4.72852
sick,439,365,1.25888,287,4.6796
may,438,424,1.46237,360,5.86988
young,432,414,1.42788,350,5.70683
morning,432,429,1.47962,386,6.29382
easter,428,389,1.34166,319,5.20137
better,426,400,1.3796,347,5.65792
science,425,402,1.38649,333,5.42964
active,425,362,1.24853,283,4.61438
died,423,414,1.42788,363,5.9188
appointment,417,368,1.26923,294,4.79374
next,416,412,1.42098,363,5.9188
far,416,389,1.34166,331,5.39703
almost,415,412,1.42098,375,6.11446
everyone,414,409,1.41064,353,5.75575
yesterday,413,410,1.41409,351,5.72314
2021,409,403,1.38994,338,5.51117
record,408,393,1.35545,321,5.23398
trump,405,346,1.19335,268,4.3698
show,405,395,1.36235,335,5.46225
study,402,392,1.352,326,5.31551
old,400,369,1.27268,330,5.38073
reported,399,388,1.33821,298,4.85896
tell,395,350,1.20715,305,4.9731
due,392,387,1.33476,345,5.62531
coming,392,385,1.32786,336,5.47856
shot,391,359,1.23819,312,5.08723
order,390,344,1.18645,309,5.03832
surge,388,388,1.33821,336,5.47856
per,388,357,1.23129,320,5.21767
full,388,374,1.28992,319,5.20137
open,386,363,1.25198,324,5.2829
wear,383,373,1.28647,312,5.08723
421,383,375,1.29337,298,4.85896
yet,375,371,1.27958,313,5.10354
big,375,366,1.26233,323,5.26659
group,373,342,1.17955,312,5.08723
began,373,373,1.28647,312,5.08723
read,372,369,1.27268,328,5.34812
4,372,351,1.2106,298,4.85896
mean,370,366,1.26233,327,5.33181
look,370,345,1.1899,303,4.94049
astrazeneca,369,356,1.22784,257,4.19045
student,368,323,1.11402,264,4.30458
ottawa,366,339,1.16921,212,3.45671
medium,366,359,1.23819,307,5.00571
staff,363,342,1.17955,284,4.63069
wednesday,358,356,1.22784,266,4.33719
three,358,350,1.20715,312,5.08723
come,356,353,1.21749,318,5.18506
already,355,352,1.21404,328,5.34812
covid19ontario,354,354,1.22094,260,4.23936
start,351,349,1.2037,324,5.2829
live,350,341,1.17611,280,4.56547
point,349,332,1.14506,297,4.84265
job,348,323,1.11402,289,4.71221
thats,347,344,1.18645,290,4.72852
president,342,340,1.17266,282,4.59808
book,342,284,0.97951,233,3.79912
economy,340,281,0.96917,244,3.97848
bed,339,308,1.06229,278,4.53286
ableg,339,339,1.16921,184,3.00016
american,336,311,1.07264,252,4.10892
official,335,333,1.14851,268,4.3698
france,334,324,1.11747,266,4.33719
enough,334,309,1.06574,283,4.61438
made,332,317,1.09333,278,4.53286
admission,331,311,1.07264,266,4.33719
positive,330,322,1.11057,265,4.32089
story,329,321,1.10713,276,4.50024
change,328,307,1.05884,266,4.33719
latest,327,327,1.12782,285,4.64699
told,326,325,1.12092,280,4.56547
nothing,325,271,0.93468,236,3.84804
minister,325,308,1.06229,243,3.96217
member,325,319,1.10023,290,4.72852
3rd,325,304,1.04849,252,4.10892
region,321,300,1.0347,258,4.20675
system,320,307,1.05884,261,4.25567
2020,319,301,1.03815,262,4.27197
without,318,311,1.07264,281,4.58177
medical,316,309,1.06574,272,4.43502
great,316,306,1.05539,279,4.54916
31,316,314,1.08298,266,4.33719
question,315,302,1.04159,268,4.3698
instead,315,311,1.07264,284,4.63069
doesnt,314,312,1.07608,277,4.51655
working,313,310,1.06919,280,4.56547
must,313,301,1.03815,275,4.48394
fact,313,305,1.05194,273,4.45133
lock,312,271,0.93468,237,3.86434
cant,312,292,1.0071,266,4.33719
important,311,307,1.05884,275,4.48394
put,309,305,1.05194,277,4.51655
give,309,308,1.06229,263,4.28828
others,305,296,1.0209,258,4.20675
might,305,255,0.87949,235,3.83173
action,305,275,0.94847,247,4.02739
population,303,282,0.97262,265,4.32089
close,302,295,1.01745,272,4.43502
announced,302,299,1.03125,247,4.02739
johnson,298,166,0.57253,152,2.4784
cdc,297,261,0.90019,219,3.57085
no3rdlockdown,292,259,0.89329,155,2.52731
weekend,291,276,0.95192,242,3.94587
hard,291,288,0.99331,261,4.25567
un,290,255,0.87949,157,2.55992
around,290,283,0.97606,251,4.09261
single,288,283,0.97606,261,4.25567
set,287,285,0.98296,254,4.14153
learn,287,283,0.97606,241,3.92956
ago,287,283,0.97606,260,4.23936
10,287,273,0.94157,246,4.01109
remember,286,282,0.97262,257,4.19045
policy,284,265,0.91398,238,3.88065
real,282,266,0.91743,231,3.76651
hospitalization,282,279,0.96227,236,3.84804
expert,282,261,0.90019,218,3.55454
part,281,278,0.95882,247,4.02739
decision,281,275,0.94847,248,4.0437
available,279,271,0.93468,247,4.02739
place,278,261,0.90019,233,3.79912
du,277,231,0.79672,138,2.25012
different,277,259,0.89329,238,3.88065
issue,276,268,0.92433,257,4.19045
hit,273,271,0.93468,241,3.92956
bad,271,264,0.91053,236,3.84804
including,270,267,0.92088,235,3.83173
least,269,267,0.92088,244,3.97848
capacity,269,265,0.91398,243,3.96217
rule,268,258,0.88984,232,3.78281
likely,268,236,0.81396,217,3.53824
30,268,264,0.91053,232,3.78281
quebec,267,241,0.83121,177,2.88603
lost,267,220,0.75878,204,3.32627
reporting,266,260,0.89674,204,3.32627
past,265,257,0.88639,229,3.7339
among,265,256,0.88294,221,3.60346
protect,263,257,0.88639,232,3.78281
florida,263,199,0.68635,182,2.96755
done,262,245,0.845,219,3.57085
thank,261,255,0.87949,236,3.84804
possible,259,253,0.87259,231,3.76651
closed,259,243,0.8381,215,3.50563
5,257,254,0.87604,236,3.84804
global,256,248,0.85535,225,3.66868
small,255,209,0.72084,186,3.03277
restaurant,255,238,0.82086,215,3.50563
party,255,242,0.83466,219,3.57085
national,254,246,0.84845,221,3.60346
man,252,246,0.84845,219,3.57085
watch,251,248,0.85535,205,3.34257
wait,251,242,0.83466,218,3.55454
house,249,246,0.84845,225,3.66868
healthcare,249,242,0.83466,209,3.40779
deadly,249,249,0.8588,228,3.71759
thought,248,235,0.81051,217,3.53824
adult,248,244,0.84155,225,3.66868
federal,246,240,0.82776,212,3.45671
failure,246,239,0.82431,209,3.40779
concern,246,235,0.81051,200,3.26105
senior,245,234,0.80706,216,3.52193
plant,245,200,0.6898,151,2.46209
biden,245,227,0.78292,174,2.83711
unit,243,232,0.80017,206,3.35888
lie,243,232,0.80017,210,3.4241
govt,243,231,0.79672,207,3.37518
die,243,221,0.76223,187,3.04908
service,242,231,0.79672,210,3.4241
anyone,242,235,0.81051,212,3.45671
act,242,240,0.82776,198,3.22844
testing,241,214,0.73808,192,3.1306
leader,241,241,0.83121,207,3.37518
intensive,241,241,0.83121,210,3.4241
flu,241,190,0.65531,171,2.7882
aged,241,240,0.82776,222,3.61976
warning,240,236,0.81396,210,3.4241
use,239,227,0.78292,203,3.30996
lot,238,233,0.80361,221,3.60346
find,238,238,0.82086,214,3.48932
est,238,207,0.71394,139,2.26643
essential,238,228,0.78637,202,3.29366
company,238,227,0.78292,208,3.39149
supply,237,210,0.72429,193,3.14691
celliottability,237,237,0.81741,152,2.4784
york,235,224,0.77257,194,3.16322
used,235,229,0.78982,214,3.48932
fight,235,233,0.80361,219,3.57085
average,235,210,0.72429,192,3.1306
illness,234,231,0.79672,213,3.47301
table,233,231,0.79672,199,3.24474
someone,233,232,0.80017,215,3.50563
online,233,220,0.75878,190,3.09799
pharmacy,232,185,0.63806,145,2.36426
pay,232,209,0.72084,193,3.14691
half,232,230,0.79327,206,3.35888
clinic,232,199,0.68635,166,2.70667
tax,231,210,0.72429,189,3.08169
rising,230,227,0.78292,202,3.29366
ontarians,230,222,0.76568,190,3.09799
disease,230,218,0.75188,179,2.91864
animal,230,220,0.75878,178,2.90233
daily,229,208,0.71739,181,2.95125
court,229,204,0.70359,163,2.65775
second,228,226,0.77947,203,3.30996
entire,228,226,0.77947,207,3.37518
isnt,227,216,0.74498,204,3.32627
dose,227,199,0.68635,183,2.98386
transmission,226,221,0.76223,196,3.19583
crisis,224,214,0.73808,191,3.1143
left,223,191,0.65876,176,2.86972
tuesday,222,222,0.76568,192,3.1306
travel,222,216,0.74498,203,3.30996
happening,222,221,0.76223,206,3.35888
tuned,221,213,0.73463,190,3.09799
team,221,212,0.73119,200,3.26105
reason,221,212,0.73119,197,3.21213
break,221,208,0.71739,179,2.91864
related,219,219,0.75533,199,3.24474
move,219,219,0.75533,205,3.34257
situation,218,212,0.73119,194,3.16322
macron,218,216,0.74498,185,3.01647
justintrudeau,218,214,0.73808,171,2.7882
away,217,216,0.74498,204,3.32627
evidence,216,200,0.6898,180,2.93494
everything,216,209,0.72084,199,3.24474
au,216,185,0.63806,115,1.8751
rollout,215,204,0.70359,173,2.82081
local,215,211,0.72774,196,3.19583
calling,215,177,0.61047,157,2.55992
uk,214,200,0.6898,148,2.41317
passport,214,211,0.72774,175,2.85342
fighting,214,212,0.73119,117,1.90771
according,214,213,0.73463,191,3.1143
received,213,207,0.71394,195,3.17952
worked,212,137,0.47251,131,2.13599
rise,212,207,0.71394,182,2.96755
level,212,204,0.70359,190,3.09799
65,211,211,0.72774,185,3.01647
l,210,168,0.57943,107,1.74466
paid,209,196,0.676,160,2.60884
early,209,208,0.71739,194,3.16322
cause,209,205,0.70704,192,3.1306
human,208,207,0.71394,188,3.06538
pour,207,182,0.62772,126,2.05446
yes,205,200,0.6898,177,2.88603
summer,205,161,0.55529,151,2.46209
saying,205,192,0.66221,177,2.88603
problem,205,200,0.6898,186,3.03277
ltc,205,200,0.6898,176,2.86972
6,205,190,0.65531,177,2.88603
2333,205,205,0.70704,172,2.8045
feel,204,188,0.64841,176,2.86972
60,204,197,0.67945,172,2.8045
québec,203,182,0.62772,96,1.5653
hour,203,197,0.67945,184,3.00016
folk,203,203,0.70014,182,2.96755
pm,202,190,0.65531,161,2.62514
hand,201,199,0.68635,188,3.06538
actually,201,200,0.6898,183,2.98386
word,199,174,0.60012,159,2.59253
24,199,197,0.67945,177,2.88603
recovery,198,186,0.64151,171,2.7882
looking,198,198,0.6829,182,2.96755
effect,198,194,0.6691,172,2.8045
20,198,189,0.65186,165,2.69036
result,197,186,0.64151,170,2.77189
political,197,192,0.66221,172,2.8045
fully,197,189,0.65186,168,2.73928
area,197,189,0.65186,168,2.73928
woman,196,179,0.61737,152,2.4784
une,196,173,0.59668,99,1.61422
sure,196,195,0.67255,180,2.93494
completely,196,196,0.676,183,2.98386
soon,195,180,0.62082,167,2.72297
politician,195,184,0.63461,163,2.65775
didnt,195,187,0.64496,172,2.8045
access,194,167,0.57598,146,2.38056
best,193,190,0.65531,179,2.91864
w,192,179,0.61737,157,2.55992
line,192,191,0.65876,174,2.83711
50,192,180,0.62082,169,2.75558
severe,191,189,0.65186,168,2.73928
origin,191,187,0.64496,152,2.4784
higher,191,164,0.56563,138,2.25012
gym,190,165,0.56908,122,1.98924
safety,189,181,0.62427,162,2.64145
distancing,189,185,0.63806,169,2.75558
clear,189,184,0.63461,172,2.8045
based,189,186,0.64151,174,2.83711
youre,188,170,0.58633,157,2.55992
seen,188,187,0.64496,168,2.73928
potential,188,188,0.64841,175,2.85342
asked,188,188,0.64841,171,2.7882
always,188,181,0.62427,169,2.75558
spreading,187,185,0.63806,173,2.82081
wont,186,183,0.63117,168,2.73928
hope,186,185,0.63806,177,2.88603
future,186,183,0.63117,174,2.83711
friend,186,181,0.62427,164,2.67406
board,186,163,0.56219,144,2.34795
zone,185,154,0.53114,137,2.23382
provincial,185,185,0.63806,164,2.67406
program,185,179,0.61737,165,2.69036
matter,185,178,0.61392,170,2.77189
info,184,183,0.63117,154,2.51101
happen,184,181,0.62427,171,2.7882
rest,183,174,0.60012,164,2.67406
outside,183,176,0.60702,163,2.65775
liberal,183,179,0.61737,149,2.42948
ill,183,183,0.63117,178,2.90233
dangerous,183,172,0.59323,154,2.51101
leadership,182,182,0.62772,157,2.55992
wearing,181,175,0.60357,160,2.60884
sense,181,177,0.61047,157,2.55992
cabinet,181,174,0.60012,157,2.55992
peter,180,180,0.62082,159,2.59253
conference,180,161,0.55529,147,2.39687
younger,179,170,0.58633,156,2.54362
theyre,179,164,0.56563,153,2.4947
taking,179,178,0.61392,163,2.65775
head,179,179,0.61737,159,2.59253
confirmed,179,172,0.59323,146,2.38056
thread,178,177,0.61047,163,2.65775
press,178,168,0.57943,157,2.55992
parent,178,167,0.57598,149,2.42948
information,178,173,0.59668,147,2.39687
follow,178,171,0.58978,157,2.55992
seems,177,175,0.60357,167,2.72297
person,176,168,0.57943,158,2.57623
booking,176,157,0.54149,143,2.33165
nation,175,154,0.53114,139,2.26643
money,175,163,0.56219,154,2.51101
contact,175,167,0.57598,151,2.46209
check,175,172,0.59323,164,2.67406
trial,174,169,0.58288,149,2.42948
deal,174,171,0.58978,161,2.62514
anything,174,169,0.58288,154,2.51101
vaccinating,173,171,0.58978,161,2.62514
needed,173,170,0.58633,159,2.59253
current,173,161,0.55529,145,2.36426
waiting,172,172,0.59323,156,2.54362
impact,172,170,0.58633,156,2.54362
save,169,168,0.57943,155,2.52731
asking,169,163,0.56219,154,2.51101
within,168,161,0.55529,148,2.41317
physician,168,167,0.57598,157,2.55992
maybe,168,156,0.53804,147,2.39687
making,168,168,0.57943,159,2.59253
later,168,166,0.57253,154,2.51101
condition,168,160,0.55184,153,2.4947
wrong,167,162,0.55874,142,2.31534
continues,167,166,0.57253,152,2.4784
united,166,164,0.56563,149,2.42948
thousand,166,163,0.56219,146,2.38056
symptom,166,155,0.53459,145,2.36426
surgery,166,162,0.55874,152,2.4784
sur,166,143,0.49321,83,1.35333
protection,166,163,0.56219,155,2.52731
positivity,166,160,0.55184,144,2.34795
plus,166,153,0.5277,125,2.03815
lower,166,165,0.56908,147,2.39687
living,166,165,0.56908,157,2.55992
arent,166,166,0.57253,156,2.54362
able,166,166,0.57253,161,2.62514
talk,165,160,0.55184,148,2.41317
kind,165,162,0.55874,158,2.57623
cbc,165,165,0.56908,138,2.25012
true,164,131,0.45182,118,1.92402
something,164,163,0.56219,155,2.52731
mass,164,161,0.55529,155,2.52731
education,163,152,0.52425,131,2.13599
air,163,146,0.50355,139,2.26643
release,162,161,0.55529,149,2.42948
qui,162,130,0.44837,96,1.5653
pa,162,140,0.48286,88,1.43486
infected,162,154,0.53114,140,2.28273
indigenous,162,142,0.48976,122,1.98924
given,162,150,0.51735,136,2.21751
blame,162,154,0.53114,139,2.26643
using,161,159,0.54839,151,2.46209
little,161,159,0.54839,148,2.41317
list,161,155,0.53459,130,2.11968
game,161,151,0.5208,133,2.1686
face,161,156,0.53804,152,2.4784
extremely,161,161,0.55529,147,2.39687
class,161,158,0.54494,140,2.28273
2nd,161,151,0.5208,135,2.20121
worse,160,158,0.54494,149,2.42948
lifted,160,157,0.54149,142,2.31534
found,160,151,0.5208,138,2.25012
currently,160,159,0.54839,145,2.36426
join,159,158,0.54494,136,2.21751
weve,158,152,0.52425,148,2.41317
shut,158,154,0.53114,145,2.36426
peel,158,157,0.54149,139,2.26643
officer,158,158,0.54494,152,2.4784
minute,158,153,0.5277,143,2.33165
learning,158,150,0.51735,138,2.25012
indoor,158,156,0.53804,147,2.39687
failed,158,158,0.54494,145,2.36426
eligible,158,139,0.47941,124,2.02185
criminal,158,157,0.54149,142,2.31534
common,158,158,0.54494,146,2.38056
55,158,158,0.54494,148,2.41317
site,157,150,0.51735,133,2.1686
let,157,156,0.53804,146,2.38056
idea,157,152,0.52425,140,2.28273
dans,157,141,0.48631,102,1.66313
1st,157,157,0.54149,149,2.42948
trying,156,152,0.52425,144,2.34795
tested,156,148,0.51045,132,2.15229
hear,156,151,0.5208,139,2.26643
facility,156,138,0.47596,127,2.07076
count,156,156,0.53804,148,2.41317
believe,156,151,0.5208,139,2.26643
fear,154,151,0.5208,139,2.26643
understand,153,152,0.52425,146,2.38056
top,153,150,0.51735,137,2.23382
hold,153,152,0.52425,131,2.13599
detail,153,152,0.52425,132,2.15229
centre,153,121,0.41733,112,1.82619
step,152,151,0.5208,139,2.26643
responsible,152,151,0.5208,142,2.31534
recent,152,151,0.5208,139,2.26643
previous,152,152,0.52425,147,2.39687
event,152,145,0.5001,131,2.13599
billion,152,140,0.48286,135,2.20121
32,152,149,0.5139,137,2.23382
immunity,151,147,0.507,128,2.08707
exposure,151,148,0.51045,133,2.1686
agency,151,151,0.5208,140,2.28273
mar,150,129,0.44492,115,1.8751
free,150,134,0.46216,123,2.00554
administered,150,145,0.5001,124,2.02185
visit,149,146,0.50355,133,2.1686
older,149,140,0.48286,131,2.13599
love,149,147,0.507,136,2.21751
ask,149,147,0.507,142,2.31534
alone,149,149,0.5139,143,2.33165
lab,148,141,0.48631,125,2.03815
starting,147,147,0.507,139,2.26643
relief,147,138,0.47596,119,1.94032
q,147,56,0.19314,54,0.88048
benefit,147,147,0.507,133,2.1686
ahead,147,147,0.507,136,2.21751
80,147,146,0.50355,135,2.20121
ucp,146,139,0.47941,104,1.69574
try,146,145,0.5001,139,2.26643
track,146,145,0.5001,139,2.26643
thanks,146,143,0.49321,135,2.20121
16,146,142,0.48976,137,2.23382
v,145,133,0.45872,121,1.97293
share,145,144,0.49665,129,2.10338
safer,145,122,0.42078,116,1.89141
learned,145,140,0.48286,132,2.15229
fed,145,141,0.48631,135,2.20121
become,145,144,0.49665,136,2.21751
40,145,144,0.49665,137,2.23382
18,145,142,0.48976,131,2.13599
short,144,143,0.49321,140,2.28273
kenney,144,133,0.45872,91,1.48378
freezer,144,142,0.48976,112,1.82619
covid19ab,144,144,0.49665,100,1.63052
course,144,142,0.48976,130,2.11968
he,143,132,0.45527,120,1.95663
emergency,143,131,0.45182,124,2.02185
cut,143,134,0.46216,115,1.8751
research,142,139,0.47941,124,2.02185
exactly,142,139,0.47941,128,2.08707
building,142,137,0.47251,134,2.1849
1215,142,142,0.48976,130,2.11968
reaction,141,141,0.48631,121,1.97293
ottnews,141,141,0.48631,62,1.01092
nearly,141,141,0.48631,135,2.20121
mark,141,137,0.47251,134,2.1849
closure,141,140,0.48286,129,2.10338
british,141,132,0.45527,112,1.82619
brazil,141,135,0.46561,117,1.90771
youth,140,136,0.46906,126,2.05446
wonder,140,140,0.48286,133,2.1686
whole,140,139,0.47941,131,2.13599
together,140,139,0.47941,129,2.10338
sent,140,139,0.47941,131,2.13599
rare,140,136,0.46906,126,2.05446
p1,140,108,0.37249,89,1.45117
expected,140,140,0.48286,132,2.15229
dying,140,139,0.47941,129,2.10338
seriously,139,137,0.47251,126,2.05446
rather,139,137,0.47251,121,1.97293
provide,139,137,0.47251,128,2.08707
hiv,139,75,0.25867,58,0.9457
started,138,137,0.47251,127,2.07076
seeing,138,129,0.44492,124,2.02185
ongov,137,121,0.41733,107,1.74466
michael,137,137,0.47251,134,2.1849
article,137,137,0.47251,105,1.71205
there,136,131,0.45182,124,2.02185
spent,136,129,0.44492,122,1.98924
fire,136,108,0.37249,103,1.67944
election,136,126,0.43457,117,1.90771
border,136,127,0.43802,119,1.94032
black,136,81,0.27937,80,1.30442
behind,136,136,0.46906,131,2.13599
priority,135,129,0.44492,118,1.92402
period,135,134,0.46216,126,2.05446
onted,135,135,0.46561,98,1.59791
huge,135,135,0.46561,126,2.05446
ce,135,116,0.40008,86,1.40225
review,134,129,0.44492,126,2.05446
increased,134,121,0.41733,115,1.8751
dining,134,133,0.45872,128,2.08707
arm,134,128,0.44147,115,1.8751
13,134,125,0.43112,121,1.97293
wuhan,133,120,0.41388,99,1.61422
rt,133,133,0.45872,116,1.89141
quickly,133,133,0.45872,130,2.11968
owner,133,133,0.45872,115,1.8751
called,133,130,0.44837,121,1.97293
14,133,133,0.45872,121,1.97293
zoo,132,132,0.45527,108,1.76097
night,132,132,0.45527,118,1.92402
moving,132,132,0.45527,119,1.94032
guy,132,129,0.44492,120,1.95663
gov,132,129,0.44492,115,1.8751
especially,132,131,0.45182,130,2.11968
date,132,132,0.45527,123,2.00554
alltime,132,132,0.45527,123,2.00554
additional,132,127,0.43802,109,1.77727
abpoli,132,132,0.45527,99,1.61422
struggling,131,131,0.45182,126,2.05446
pcr,131,98,0.338,82,1.33703
mandate,131,119,0.41043,109,1.77727
economic,131,128,0.44147,114,1.8588
amid,131,131,0.45182,118,1.92402
pfizerbiontech,130,130,0.44837,125,2.03815
hell,130,114,0.39318,105,1.71205
fauci,130,108,0.37249,96,1.5653
concerned,130,130,0.44837,124,2.02185
source,129,127,0.43802,117,1.90771
sflecce,129,127,0.43802,93,1.51639
ont,129,121,0.41733,101,1.64683
north,129,118,0.40698,98,1.59791
il,129,106,0.36559,81,1.32072
fordfailedontario,129,128,0.44147,75,1.22289
decided,129,128,0.44147,125,2.03815
post,128,124,0.42767,113,1.84249
listen,128,122,0.42078,108,1.76097
january,128,125,0.43112,116,1.89141
issued,128,128,0.44147,125,2.03815
investigation,128,111,0.38284,97,1.58161
fucking,128,128,0.44147,120,1.95663
force,128,123,0.42423,120,1.95663
emmanuel,128,128,0.44147,112,1.82619
blood,128,115,0.39663,94,1.53269
beyond,128,128,0.44147,125,2.03815
announces,128,128,0.44147,121,1.97293
healthy,127,125,0.43112,113,1.84249
7,127,124,0.42767,114,1.8588
receive,126,126,0.43457,120,1.95663
happened,126,124,0.42767,115,1.8751
following,126,125,0.43112,110,1.79358
ca,126,112,0.38629,66,1.07615
meeting,125,122,0.42078,115,1.8751
juni,125,125,0.43112,110,1.79358
growth,125,125,0.43112,113,1.84249
freedom,125,112,0.38629,99,1.61422
delivery,125,120,0.41388,112,1.82619
hey,124,124,0.42767,113,1.84249
four,124,123,0.42423,118,1.92402
8,124,122,0.42078,118,1.92402
twitter,123,120,0.41388,111,1.80988
regarding,123,123,0.42423,121,1.97293
mom,123,122,0.42078,118,1.92402
low,123,122,0.42078,116,1.89141
etc,123,110,0.37939,104,1.69574
complication,123,121,0.41733,113,1.84249
vulnerable,122,120,0.41388,113,1.84249
though,122,122,0.42078,118,1.92402
longterm,122,122,0.42078,107,1.74466
giving,122,116,0.40008,107,1.74466
actual,122,120,0.41388,113,1.84249
