Word,2020-01-21_2020-02-03,2020-02-04_2020-02-17,2020-02-18_2020-03-03,2020-03-04_2020-03-17,2020-03-18_2020-03-31,2020-04-01_2020-04-14,2020-04-15_2020-04-28,2020-04-29_2020-05-12,2020-05-13_2020-05-26,2020-05-27_2020-06-09,2020-06-10_2020-06-23,2020-06-24_2020-07-07,2020-07-08_2020-07-21,2020-07-22_2020-08-04,2020-08-05_2020-08-18,2020-08-19_2020-09-01,2020-09-02_2020-09-15,2020-09-16_2020-09-29,2020-09-30_2020-10-13,2020-10-14_2020-10-27,2020-10-28_2020-11-10,2020-11-11_2020-11-24,2020-11-25_2020-12-08,2020-12-09_2020-12-22,2020-12-23_2021-01-05,2021-01-06_2021-01-19,2021-01-20_2021-02-02,2021-02-03_2021-02-16,2021-02-17_2021-03-02,2021-03-03_2021-03-16,2021-03-17_2021-03-30,2021-03-31_2021-04-13
school,0.006997103357913438,0.006279839122506278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
store,0.006666641505843991,0.006479788011313027,0.006177314508266391,0.005750687840441026,0.005199505346296821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
closed,0.006217323258314494,0.00618637102685339,0.005998441779201866,0.005459147497910022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ableg,0.005840518552955923,0.006300011907048854,0.0071414075398023675,0.008212726285861302,0.009134227382929265,0.009640368164456853,0.009671087111590659,0.009284016213583641,0.008653957525221216,0.00808632073951202,0.007840278221319129,0.007926150422423877,0.008723440898036894,0.010183908626065588,0.011551813259078362,0.012481707618918326,0.012681920913410413,0.012788671728182115,0.014083522977075377,0.016911300839729398,0.020628188110356924,0.0241331917154384,0.026245559806667526,0.02594905509100421,0.022947024665358553,0.019274851189192605,0.0167457220717675,0.015185085834637554,0.014176595465843028,0.013262396398379124,0.012484691707836018,0.01204609681900279
order,0.005303281643794313,0.0058591817002494415,0.006979319237358209,0.008662488650919328,0.010670572466477134,0.01236115414878331,0.012929871532954763,0.011934986181758296,0.009927718727413833,0.007799939669147059,0.006187327368633187,0.005007238781373783,0.004245078311979717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006772109476607939,0.00840765730302771,0.010897195701342965,0.014534247822530093,0.015576787775658619,0.014066310155485007,0.011309594235953515,0.008806593207886062,0.007170322683415274,0.006456082580570282
abpoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006399995892671186,0.007543188668191983,0.008555104914221014,0.00926646006114235,0.009523279802333988,0.008917051989254956,0.008111528125125058,0.0077693384887980626,0.0076445526238276195,0.007431489190384914,0.007009445086153847,0.006533884538483652,0.006259500707144137
albertans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006311141535128184,0.0076461141399751026,0.008532180049508021,0.008942671044242763,0.008989097603395156,0.007858163938956315,0.006458534312677725,0.0,0.0,0.0,0.0,0.0,0.0
app,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006574344622103777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005468524248785163,0.007129896196976282,0.007301020399139462,0.006190126863680876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005647088232224392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006002365225022007,0.007818533482614791,0.008868649098431734,0.00853355175103905,0.0073393994500923765,0.006606397499200656,0.006288114279421333,0.006238839345514009,0.006398815266758936,0.006528454281304559,0.006481597025149204,0.00641131282643658
