Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
18,leadership,2976,2866,1713
18,killing,1503,1482,1076
18,160000,1113,1110,747
18,pandemic,67544,65463,9883
18,america,7716,7304,2954
19,state,12686,11364,3630
19,vote,6854,5970,2360
19,election,7531,7100,2933
19,service,5682,5171,2734
19,order,4194,4037,2227
19,republican,4540,4189,1577
19,trump,42736,36152,4482
19,democrat,4449,4141,1586
19,mail,3722,3281,1535
19,nation,3396,3339,1977
19,relief,4857,4584,1911
19,voting,3221,3002,1476
19,president,11799,11207,3160
19,united,3741,3446,1844
19,voter,2569,2307,1368
20,time,19115,17991,6158
20,post,4234,3948,2196
20,twitter,3490,3148,1913
20,likely,2765,2641,1759
20,wait,2132,2104,1596
20,tweet,2446,2276,1592
20,demand,1939,1889,1426
20,cnn,1792,1729,1053
20,facebook,1541,1383,1011
20,summer,1617,1539,1187
20,misinformation,1857,1800,1219
20,year,13159,12048,4967
20,office,4127,3941,2129
20,account,1601,1505,1169
20,state,12686,11364,3630
21,need,19147,17459,5810
21,help,10585,9802,4369
21,spread,8275,7910,3679
21,worker,6347,5827,2913
21,safe,7308,6918,3575
21,sure,4666,4584,2837
21,protect,4880,4658,2639
21,app,3228,2350,1486
21,community,7065,6427,3220
21,line,2922,2831,1955
21,continue,3342,3260,2130
21,alert,1958,1896,1258
21,prevent,2027,1996,1433
21,today,13507,13000,5006
21,deadly,2620,2579,1578
22,canadian,12314,11291,4050
22,government,12244,11720,4433
22,cdnpoli,10193,10158,2629
22,trudeau,7782,7044,2158
22,liberal,4708,4300,1801
22,federal,4343,4133,2358
22,pandemic,67544,65463,9883
22,minister,5059,4737,2339
22,govt,3226,3005,1676
22,support,6780,6289,3321
22,justintrudeau,2464,2438,1244
22,conservative,2362,2212,1229
22,contract,2419,2238,1291
22,program,2496,2408,1586
22,justin,1860,1858,1064
23,child,13288,11081,3950
23,country,12859,11977,4417
23,world,11135,10270,4264
23,woman,3870,3393,2163
23,great,6412,6074,3446
23,thread,2846,2683,1626
23,thanks,2844,2795,1946
23,far,4191,4096,2470
23,immune,2694,2540,1556
23,crisis,6107,5772,2819
23,lead,2984,2909,1953
23,worst,2910,2609,1739
23,die,4319,3905,2099
23,god,1671,1543,1194
23,stupid,1799,1704,1209
24,home,12052,11140,4648
24,want,11278,10349,4237
24,going,10979,10440,4517
24,care,9637,8571,3722
24,stay,6684,6201,3464
24,tell,4384,4316,2624
24,yes,2892,2607,1820
24,sick,4434,4114,2425
24,love,2417,2320,1761
24,force,2753,2609,1699
24,left,3183,3088,1960
24,nursing,1953,1774,965
24,guy,2788,2690,1801
24,hey,1730,1714,1259
24,source,2142,1844,1346
25,know,12757,11807,4750
25,news,9482,9009,3706
25,good,8671,8356,4149
25,city,5724,5238,2848
25,story,3817,3710,2342
25,watch,4263,4187,2422
25,question,3579,3450,2186
25,right,11209,10636,4404
25,really,5351,5099,2889
25,cbc,1803,1723,1023
25,hell,1705,1692,1245
25,breaking,6311,6294,2761
25,play,2384,2341,1734
25,idea,1968,1913,1434
25,rule,3136,2770,1808
