Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
13,illness,2569,2510,1600
13,hell,2122,2081,1484
13,asked,2992,2917,1806
13,trust,2463,2278,1505
13,pretty,1894,1878,1353
13,attention,1720,1708,1309
13,comment,1980,1917,1420
14,health,29513,26575,6438
14,care,16238,14480,4604
14,public,16346,15209,5059
14,medical,9276,9011,3598
14,expert,6273,5995,2835
14,best,4565,4240,2591
14,official,6739,6478,2810
14,issue,4063,3840,2354
14,act,3402,3275,1909
14,safety,3112,3015,1854
14,learn,2765,2731,1754
14,mental,2891,2480,1674
14,officer,2668,2576,1579
14,access,2819,2730,1803
14,outbreak,9579,9040,3377
15,virus,22129,20648,5331
15,lockdown,16095,14122,3694
15,world,11116,10167,4138
15,china,7848,6400,2549
15,stop,9110,8566,3767
15,end,5596,5341,2801
15,control,5318,5015,2711
15,science,4512,4060,2203
15,leader,5893,5647,2884
15,spread,9908,9557,4029
15,fear,3557,3263,1837
15,scientist,2842,2655,1688
15,kill,2505,2420,1581
15,immunity,2792,2378,1435
15,human,2905,2793,1828
16,realdonaldtrump,14344,13923,3215
16,died,12513,11785,3712
16,american,22009,20038,3886
16,man,5340,4883,2586
16,afraid,4270,3884,2136
16,hospital,14376,13027,4309
16,dead,4130,4019,1957
16,potus,5019,4422,2008
16,paid,2812,2228,1540
16,great,6385,6092,3269
16,tax,6709,5822,2684
16,trump,114433,95870,7114
16,feeling,2131,2003,1502
16,lost,4926,4674,2449
16,reminder,3300,3297,1954
17,debate,15098,13335,3174
17,penny,9414,8278,2352
17,good,9574,9079,4163
17,watch,4891,4754,2481
17,force,5215,5143,2267
17,kid,5204,4681,2520
17,know,18530,17396,5198
17,look,6962,6667,3418
17,thought,3913,3843,2356
17,head,3826,3735,2075
17,failure,3764,3556,1909
17,task,3321,3265,1505
17,refused,3399,2985,1626
17,mike,5455,5388,1878
17,vp,2751,2585,1399
18,day,27611,24647,6098
18,cdc,9670,8785,2897
18,symptom,6825,6420,2901
18,coming,5031,4942,2888
18,ago,5853,5698,2815
18,study,4389,4154,2273
18,disease,5297,5005,2510
18,matter,3490,3272,2058
18,20,3717,3377,2115
18,guideline,2982,2871,1614
18,likely,3243,3162,1827
18,10,5308,5141,2850
18,knew,4998,4279,1941
18,wow,1630,1589,1219
18,infectious,2346,2234,1392
19,home,14406,13175,5054
19,onpoli,9068,9058,2250
19,fordnation,7445,7305,2026
19,ontario,19512,18016,4032
19,ford,6882,6203,2037
19,read,4898,4794,2800
19,stay,7656,7152,3821
19,restriction,5897,5638,2722
19,doug,3720,3550,1560
19,new,38317,33118,6930
19,open,4876,4510,2679
19,wave,7340,6863,3096
19,premier,3927,3761,1784
19,restaurant,2993,2810,1749
19,bar,2834,2720,1693
20,death,21903,18754,4885
20,le,9154,7428,2957
20,flu,7112,6018,2850
20,year,14090,13218,5120
20,old,3626,3488,2231
20,et,4970,3874,1062
20,2020,4357,4168,2425
20,pour,2948,2501,647
20,du,2530,2179,578
20,plus,2703,2433,1229
20,au,2544,2003,520
20,season,1729,1639,1277
20,est,2388,1978,602
20,pa,2104,1770,492
20,une,1844,1654,480
