User ID	Screen Name	Number of Tweets	Number of Topics	Topics Discussed
18536738	normsworld	190	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4440595215	mschleifer13	190	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
560707426	anik1968	189	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1103451206616150017	JackNationalist	187	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
870459348094517249	JemmsCee2	187	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
269363685	rightfluidnow	187	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
718040551	towjoe	186	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1668828822	greg60328592	185	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
104351679	millerd99	184	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
125322205	NatriceR	184	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
299626127	desicool21	184	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2266295418	UncleRee1	183	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
214213512	maverickcalgary	183	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
359087790	IBAConservative	182	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2263235551	inky_mark	182	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
162536320	Just_Canuck	181	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
154136730	JDignum	181	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
536022883	micropainter	181	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1112542074	CoombesLeanne	180	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
14254409	Ojibray	179	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
143225212	DrSpockets	178	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
122680860	jbg44	176	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
35887395	Gym2Lift	175	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
870756224287027201	ALGfreedom	175	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
7922582	accrete	174	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
96169042	meredithheron	174	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
138418838	Pairsonnalites	173	7	1, 2, 3, 4, 7, 8, 9
38520056	eccerheinheimer	173	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1050196639816671233	GladysRBates142	173	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1207023905011093504	getoncrossnow	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
187805921	canadianglen	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
734791975	deb2_debra	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
74753016	OrbitStudios	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
9898272	JoanVinallCox	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
16356658	canteach	172	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
124878802	CanGal_39	171	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
20554879	maggini_19	170	9	1, 2, 3, 4, 5, 6, 7, 8, 9
212463932	alisonborealis	168	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
250843549	TirxieSimone	167	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1217831815219699712	TOB90284160	166	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
999886501	ebauman70	165	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
8736882	globeandmail	164	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1004022175	Nancy_Crouse	164	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
