Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
watch,2463,2436,1.06202,1445,11.58131
resident,2458,2338,1.01929,1294,10.37108
p1,2448,2064,0.89984,947,7.58997
daily,2444,2331,1.01624,1409,11.29278
liberal,2433,2295,1.00054,1015,8.13497
question,2431,2264,0.98703,1470,11.78168
thats,2430,2346,1.02278,1457,11.67749
bad,2424,2284,0.99575,1420,11.38094
fact,2401,2295,1.00054,1456,11.66947
others,2390,2300,1.00272,1486,11.90991
thank,2374,2294,1.00011,1519,12.1744
6,2374,2305,1.0049,1451,11.6294
100,2373,2191,0.9552,1481,11.86984
lot,2372,2296,1.00098,1524,12.21447
die,2349,2209,0.96305,1298,10.40314
dose,2321,2128,0.92774,1340,10.73976
feel,2318,2162,0.94256,1451,11.6294
part,2317,2267,0.98834,1496,11.99006
past,2314,2268,0.98877,1432,11.47712
give,2314,2278,0.99313,1507,12.07822
provincial,2307,2277,0.9927,1420,11.38094
federal,2298,2179,0.94997,1250,10.01843
covid19ontario,2297,2295,1.00054,1021,8.18306
govt,2292,2112,0.92076,1167,9.35321
population,2288,2071,0.90289,1359,10.89204
including,2288,2276,0.99226,1394,11.17256
hard,2288,2243,0.97787,1482,11.87786
american,2280,2071,0.90289,1244,9.97035
lost,2277,2147,0.93602,1451,11.6294
save,2269,2226,0.97046,1418,11.36491
use,2268,2170,0.94605,1447,11.59734
restaurant,2264,2074,0.9042,1324,10.61153
group,2245,2144,0.93471,1396,11.18859
adult,2239,2019,0.88022,1326,10.62755
friend,2238,2099,0.9151,1450,11.62138
clinic,2236,1990,0.86757,1081,8.66394
50,2225,2172,0.94692,1391,11.14851
action,2209,2116,0.92251,1297,10.39513
latest,2206,2193,0.95608,1358,10.88403
already,2199,2158,0.94082,1458,11.6855
increase,2197,2018,0.87978,1251,10.02645
rule,2192,2065,0.90027,1335,10.69969
store,2188,2057,0.89678,1372,10.99623
person,2187,2101,0.91597,1423,11.40499
economy,2183,1990,0.86757,1184,9.48946
capacity,2182,2095,0.91335,1285,10.29895
astrazeneca,2182,2131,0.92905,1280,10.25888
trump,2178,1847,0.80523,981,7.86247
failure,2178,2067,0.90114,1227,9.83409
issue,2168,2123,0.92556,1429,11.45307
situation,2153,2134,0.93035,1322,10.5955
second,2152,2109,0.91946,1363,10.9241
leave,2151,2075,0.90463,1267,10.15468
12,2150,2115,0.92207,1375,11.02028
leader,2142,2111,0.92033,1288,10.32299
service,2136,2036,0.88763,1358,10.88403
global,2134,2061,0.89853,1358,10.88403
team,2131,1990,0.86757,1321,10.58748
problem,2123,1971,0.85929,1279,10.25086
hope,2121,2084,0.90856,1409,11.29278
