Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
vaccine,2398,2105,1326
administration,2364,2278,1102
emergency,2344,2261,1431
risk,2335,2224,1528
rate,2327,2025,1338
every,2323,2161,1557
medium,2319,2131,1464
also,2309,2242,1586
million,2259,2068,1432
infected,2202,2018,1276
keep,2191,2133,1540
bill,2175,1963,1254
medical,2164,2081,1431
white,2158,2088,1212
kit,2129,1926,983
global,2116,2026,1420
two,2114,2058,1388
chinese,2072,1848,1184
school,2069,1819,1215
dr,2063,1940,1325
disease,2057,1942,1351
protect,2053,2027,1536
america,2042,1962,1298
please,2013,1863,1464
back,2009,1941,1419
penny,1993,1892,1028
3,1972,1821,1311
plan,1967,1802,1258
may,1961,1852,1309
community,1942,1851,1405
wuhan,1936,1763,1051
call,1928,1822,1375
mask,1924,1704,1267
really,1901,1803,1316
around,1894,1795,1320
total,1867,1759,1008
well,1862,1802,1346
bc,1850,1708,1041
korea,1833,1743,1089
close,1797,1726,1239
tell,1794,1744,1262
border,1787,1562,1089
fear,1751,1665,1174
look,1731,1664,1248
everyone,1699,1649,1322
must,1687,1619,1234
le,1676,1403,976
epidemic,1676,1623,1067
information,1672,1577,1176
march,1657,1534,1142
made,1657,1614,1208
since,1656,1618,1192
come,1656,1626,1231
quarantine,1655,1594,1164
man,1640,1405,1038
symptom,1624,1505,1118
minister,1607,1514,1117
market,1607,1472,1037
cruise,1593,1405,933
put,1580,1511,1195
listen,1573,1118,895
south,1555,1476,901
social,1552,1491,1181
conference,1539,1477,1107
infection,1530,1485,1020
economy,1526,1444,1055
mean,1523,1462,1119
ship,1510,1328,900
spreading,1496,1488,1111
question,1493,1370,1084
national,1489,1419,1094
person,1483,1358,986
died,1483,1401,986
video,1478,1445,1034
fight,1474,1448,1078
month,1464,1421,1099
got,1457,1388,1083
latest,1455,1442,1004
federal,1451,1416,1041
fact,1449,1366,1035
business,1444,1376,1049
taking,1443,1391,1115
enough,1441,1352,1032
far,1439,1416,1031
family,1426,1381,1083
system,1410,1341,1012
measure,1393,1366,1050
ontario,1392,1304,916
never,1389,1364,1046
cut,1389,1227,909
told,1384,1311,968
team,1383,1317,1024
getting,1379,1352,1064
use,1376,1342,1092
important,1362,1328,1040
concern,1361,1333,969
4,1360,1322,1037
gop,1359,1266,789
yet,1358,1337,1028
real,1357,1280,1005
working,1356,1306,1013
panic,1353,1274,1017
show,1352,1315,1035
city,1344,1235,897
local,1340,1294,1017
contact,1340,1274,923
ago,1332,1301,959
saying,1329,1260,974
democrat,1329,1187,731
anyone,1327,1307,1001
amid,1326,1319,894
wash,1320,1283,1078
province,1319,1279,967
big,1316,1242,946
healthcare,1314,1173,865
novel,1310,1303,904
face,1310,1254,951
coming,1310,1278,987
reported,1309,1260,899
impact,1303,1238,950
great,1296,1267,1024
already,1296,1270,1011
coronavirusoutbreak,1295,1295,643
leader,1294,1228,931
read,1288,1254,1017
support,1283,1234,991
leave,1272,1178,908
give,1263,1241,1020
die,1261,1187,908
united,1260,1233,909
better,1259,1200,968
deal,1254,1224,940
free,1248,1130,916
company,1246,1204,921
including,1244,1206,935
next,1241,1221,967
cant,1241,1193,930
funding,1240,1153,843
problem,1238,1169,888
lot,1231,1180,949
live,1231,1211,870
job,1223,1164,956
office,1222,1168,937
instead,1219,1211,929
place,1217,1181,976
paid,1217,1117,856
donald,1213,1191,809
nothing,1212,1147,919
point,1204,1150,920
stock,1203,1133,857
someone,1195,1179,952
asked,1194,1153,913
another,1192,1177,929
event,1191,1115,904
bad,1184,1126,900
staff,1179,1135,835
action,1176,1150,890
lie,1175,1046,758
press,1174,1142,863
done,1169,1107,923
lack,1166,994,703
without,1158,1131,923
watch,1154,1129,857
least,1154,1103,835
republican,1150,1113,762
science,1145,1095,889
across,1144,1132,886
flight,1132,1079,813
economic,1121,1086,830
control,1118,1060,846
alberta,1116,1013,654
trying,1103,1071,831
safe,1103,1081,891
effort,1103,1084,861
change,1100,1068,902
follow,1099,1084,916
10,1097,1059,817
start,1094,1070,884
away,1094,1062,908
liberal,1093,1031,727
story,1091,1060,817
prevent,1088,1083,887
obama,1084,995,658
making,1084,1069,863
limit,1077,1054,772
washington,1076,1030,703
service,1076,1040,889
charge,1067,1045,746
thousand,1054,1019,834
hour,1053,1027,828
thank,1052,1017,840
lying,1043,993,738
pay,1041,959,778
sure,1040,1023,850
possible,1033,1006,832
best,1033,1007,868
announced,1032,1013,795
anything,1025,1001,778
toronto,1015,921,645
blame,1013,874,674
political,1011,986,774
decision,1009,911,768
daily,1008,974,831
three,999,986,780
advice,999,970,812
6,998,955,744
worse,997,957,742
avoid,997,965,806
hoax,994,904,630
authority,994,981,811
likely,990,973,756
believe,989,959,745
hit,988,968,771
oil,976,862,666
end,971,946,803
part,969,927,761
distancing,969,953,804
pm,967,847,696
major,967,958,770
low,964,943,760
doesnt,964,891,713
closed,963,911,762
long,961,934,760
might,958,916,755
5,958,913,716
area,957,927,725
member,951,930,720
money,948,852,738
force,937,929,754
called,936,892,737
something,931,901,754
threat,927,877,705
price,927,846,691
seattle,926,868,561
full,925,910,746
14,923,888,741
billion,922,839,665
top,921,912,746
briefing,921,802,558
according,915,896,658
open,913,854,732
supply,912,841,672
biden,912,818,611
leadership,911,898,725
situation,907,876,751
sense,906,897,790
human,905,867,720
employee,903,848,661
kill,899,850,720
common,896,889,814
woman,888,828,663
held,888,883,772
county,887,762,449
ban,887,836,674
others,885,869,733
congress,881,851,643
ever,879,853,724
nation,877,866,707
scientist,874,798,660
save,874,863,763
thought,873,857,712
thats,871,838,708
went,870,823,705
w,868,770,612
cdcgov,861,861,665
feel,854,797,709
precaution,851,843,769
california,851,800,594
youre,848,789,664
paper,846,762,658
everything,842,812,680
step,841,814,680
issue,838,791,651
university,836,802,630
prepared,836,780,665
party,835,808,644
committee,835,759,580
together,828,804,688
usa,825,745,570
food,825,773,676
result,824,801,671
actually,824,816,690
serious,823,794,694
early,823,803,638
york,818,768,576
et,818,653,404
allowed,817,816,691
tweet,812,795,668
uk,811,741,536
find,809,792,688
clear,809,807,662
passenger,806,710,531
answer,806,731,641
ableg,805,803,403
ask,803,686,606
source,801,777,641
contain,800,790,656
vp,799,761,570
friend,798,758,651
20,797,794,631
thread,796,777,611
officer,796,788,659
north,795,773,660
justintrudeau,792,770,596
using,791,779,664
available,789,763,638
toll,786,776,525
potus,786,770,540
nurse,786,668,535
visit,784,775,656
he,782,698,575
govt,782,741,635
vote,779,713,564
policy,779,750,634
2020,779,767,661
per,776,709,603
shut,774,745,626
hope,771,754,641
idea,767,702,603
check,767,716,639
seriously,765,756,642
yesterday,764,758,607
continue,764,748,658
isnt,760,723,621
truth,758,736,567
statement,757,736,631
dear,757,747,563
wait,755,738,644
folk,753,733,628
chief,753,747,627
50,751,711,598
15,751,708,597
seen,744,730,625
combat,741,740,601
theyre,738,677,571
dead,738,679,510
salary,737,672,483
head,735,729,611
screening,733,701,578
run,733,727,596
12,733,719,584
info,732,708,592
8,730,698,575
calling,729,698,588
europe,728,701,577
talking,727,722,614
cpac,725,665,442
treatment,720,680,559
left,720,662,571
outside,718,695,566
old,718,589,508
line,718,704,606
un,714,645,452
lab,714,642,504
talk,713,693,604
high,713,691,581
order,709,695,582
data,708,656,524
deadly,707,703,594
cancelled,706,672,574
calm,706,701,655
tax,704,621,520
reason,704,685,591
hard,704,690,592
citizen,704,655,568
dangerous,702,686,563
safety,701,694,619
message,701,692,597
cause,699,681,599
try,698,684,605
exposed,696,680,528
population,694,645,526
morning,693,685,601
january,693,667,555
audio,690,690,479
airport,689,652,565
closing,685,663,589
cancel,684,669,563
word,683,659,550
communist,683,659,492
student,681,634,508
set,681,664,563
remember,681,671,578
meeting,680,653,554
gathering,680,613,515
yes,677,642,571
soon,676,668,563
guy,676,657,577
slow,675,657,559
reporting,675,659,566
cost,672,644,538
claim,668,646,555
resident,667,634,496
little,666,648,572
elderly,664,645,553
child,662,577,480
almost,661,655,581
came,660,638,562
act,660,634,561
prime,659,635,541
fauci,659,625,452
toilet,657,618,548
international,655,628,511
fake,651,580,489
covid2019,651,648,437
research,649,562,490
killed,649,632,562
used,648,638,568
racist,648,601,513
share,646,625,567
ill,642,619,533
cnn,641,610,487
quarantined,640,631,522
note,640,628,545
italian,640,602,481
knew,638,632,481
level,635,601,526
night,634,615,522
ready,632,622,527
hold,631,627,542
entire,629,610,528
maybe,628,578,499
lockdown,628,602,495
found,627,562,481
task,624,619,536
wont,621,565,500
failure,621,593,482
continues,621,607,516
didnt,620,561,488
demand,619,584,492
zero,618,593,499
telling,617,608,543
second,617,609,523
rally,614,579,441
large,613,597,521
online,612,569,502
friday,612,593,487
justin,611,605,513
shit,610,556,505
insurance,610,563,470
blocking,610,609,451
100,610,602,540
condition,608,587,482
34,608,563,449
group,607,583,497
india,606,518,332
understand,604,591,510
security,604,547,468
handling,604,586,488
trip,603,551,465
general,600,585,499
article,600,579,461
thanks,599,594,542
address,599,565,486
access,599,567,501
worst,598,542,490
ottawa,593,470,376
governor,593,554,439
france,593,577,451
resource,592,568,500
true,590,585,519
princess,590,570,435
fighting,589,583,330
wh,587,553,399
literally,587,577,482
war,586,550,468
regime,586,528,248
bringing,586,574,465
able,586,572,502
7,586,562,455
moment,585,579,505
center,583,549,427
needed,581,567,487
whole,580,573,517
leading,580,580,502
history,580,572,500
here,580,578,508
fatality,580,516,408
prepare,579,571,513
monday,578,569,466
transmission,576,549,432
seems,575,564,476
worry,574,549,501
looking,571,521,475
fox,570,518,406
campaign,569,552,465
putting,567,498,458
vulnerable,564,558,504
mike,564,525,437
wrong,563,547,480
maga,563,557,372
become,563,548,472
pelosi,562,493,381
bank,562,521,442
ppl,561,437,350
japan,560,550,429
there,558,538,475
senate,556,525,430
joe,556,487,400
organization,555,549,489
despite,554,550,457
politics,552,536,452
took,550,532,467
rise,550,538,414
matter,550,520,466
du,550,452,249
9,550,536,440
critical,549,543,456
play,548,536,473
florida,547,529,424
god,546,524,453
water,545,489,440
provide,545,542,483
asking,544,539,476
store,543,496,429
iranian,543,513,320
increase,543,526,455
election,543,520,441
tonight,542,508,452
false,542,535,453
else,542,538,491
drug,542,492,414
coronaoutbreak,542,541,398
always,541,515,475
worried,540,492,444
hell,539,524,459
professional,537,519,472
hear,537,529,474
sent,536,532,457
let,536,518,467
gaetz,536,488,373
room,535,516,445
power,535,514,465
interest,535,517,464
air,534,509,449
worldwide,532,522,459
completely,532,508,449
matt,530,523,394
tuesday,529,511,410
capacity,529,500,423
trust,525,481,421
guess,523,522,477
lead,521,509,469
turn,520,520,460
gov,520,496,428
ahead,520,513,446
agency,520,512,424
taken,518,518,462
airline,518,489,416
western,517,350,330
massive,516,494,452
growing,516,513,449
attendee,516,476,355
pas,515,489,421
game,514,460,400
former,513,497,434
stopped,512,496,428
healthy,511,478,441
allow,510,507,447
profit,509,492,399
kid,509,472,429
chance,509,502,453
budget,509,446,380
conservative,508,484,430
duty,506,506,374
drugmakers,506,506,387
cover,504,493,443
reporter,503,488,420
cabinet,503,499,404
selfquarantine,502,493,423
facility,502,476,396
illness,501,485,403
higher,500,486,406
cbc,500,467,361
henry,499,488,315
four,499,494,443
warning,498,486,428
stupid,498,471,424
shortage,498,486,422
senior,498,462,405
los,497,442,306
absolutely,496,494,445
er,494,403,359
60,494,474,400
supporter,492,473,379
30,490,479,430
move,489,479,418
especially,489,487,443
course,489,481,429
rt,488,479,391
weekend,484,468,404
based,484,475,427
lied,483,332,303
kind,483,472,429
onpoli,481,480,355
vancouver,480,462,333
industry,480,457,399
immediately,480,468,426
whether,478,445,395
package,478,461,389
running,477,470,422
dying,477,463,405
failed,476,432,374
related,475,471,424
infectious,475,423,381
incompetence,475,468,398
gas,475,457,400
affected,475,473,432
past,473,469,411
24,473,467,420
future,472,460,421
love,470,453,423
germany,470,454,370
self,469,460,410
given,469,466,417
politician,467,448,409
meet,467,460,401
covid19canada,467,464,282
centre,467,438,386
break,467,462,416
mass,466,450,405
department,465,456,381
1000,465,446,382
grand,464,462,363
rest,463,461,403
started,462,456,403
director,462,455,376
happening,459,440,388
within,458,457,413
wife,457,427,398
sign,457,450,406
provincial,457,445,374
misinformation,456,452,396
idiot,456,445,395
etc,456,432,393
coronaviruscanada,455,455,265
responsible,454,450,412
truly,452,441,383
nursing,452,416,346
hiding,452,445,393
16,452,447,408
pour,451,380,253
front,451,448,395
behind,451,443,391
keeping,450,431,401
11,450,443,368
following,449,440,392
containment,447,438,362
attack,447,418,364
admin,446,437,335
known,445,442,395
post,444,438,375
currently,444,443,388
bcpoli,444,444,224
financial,441,404,367
hotel,440,367,322
climate,440,423,373
bed,440,385,340
wanted,439,436,403
priority,439,434,405
single,438,427,392
personal,438,434,386
happen,437,433,376
fucking,437,393,353
wednesday,435,432,383
current,435,429,387
twitter,434,414,377
late,434,396,355
busy,434,431,404
refused,433,427,371
negative,431,418,368
fed,431,412,347
concerned,431,428,385
foreign,430,416,377
release,429,414,364
hong,429,392,264
effective,429,419,397
declared,429,418,368
season,428,402,363
fuck,428,412,363
individual,427,416,375
tomorrow,426,413,369
ford,425,414,336
probably,424,420,379
sars,423,395,348
name,423,394,361
isolation,423,410,368
among,423,419,352
cure,421,382,333
potential,420,415,352
fund,420,393,348
lost,419,404,356
hey,416,413,381
photo,415,368,341
bring,415,405,366
aid,415,402,352
biggest,414,409,375
premier,413,411,367
blockade,413,409,347
80,413,393,356
coverage,412,408,356
confirms,412,412,334
later,411,407,359
hate,411,392,352
happened,411,406,372
evidence,411,393,342
six,410,405,355
quickly,410,407,368
different,410,372,325
dereliction,410,410,290
several,409,401,343
restriction,409,397,360
reality,409,390,333
handle,409,402,370
70,409,400,361
website,408,402,362
challenge,408,401,375
learn,407,404,372
dealing,407,398,365
amazon,407,368,329
restaurant,406,373,341
period,406,401,360
incompetent,406,379,341
wearing,405,397,348
february,405,353,307
age,405,346,300
immune,404,398,252
detail,402,392,353
russia,401,356,315
contained,401,371,308
huge,400,393,356
ok,398,394,354
unacceptable,397,397,354
reminder,397,394,363
developed,397,360,321
class,397,369,338
spent,396,393,361
sanitizer,396,381,349
stand,395,381,350
simply,395,394,363
racism,395,389,348
giving,395,387,363
board,395,388,343
announces,395,395,337
mr,394,349,314
hundred,394,391,361
develop,394,380,327
record,393,377,338
mortality,393,343,297
kong,393,373,263
soap,391,312,288
globally,391,376,305
diagnosed,391,387,323
recently,390,386,336
rather,390,389,350
region,388,361,319
essential,388,381,354
21,388,384,309
washing,387,379,333
seem,387,343,318
researcher,387,365,327
ebola,387,348,314
buying,386,376,359
wow,385,378,344
link,385,378,332
australia,383,368,290
13,383,371,324
feb,380,336,271
cough,380,348,310
clean,379,364,336
half,378,371,340
light,377,373,347
expect,377,371,328
au,377,332,200
attempt,377,373,324
strong,376,368,339
whats,375,372,334
providing,374,372,342
informed,374,374,343
fever,374,362,332
buy,374,361,337
tip,373,369,329
street,373,360,320
plane,373,347,321
necessary,373,370,333
meanwhile,372,372,349
wonder,371,368,332
phone,371,361,328
imagine,371,366,338
either,371,366,329
seeing,369,340,310
dc,369,350,303
responsibility,368,354,325
respond,368,364,331
approach,368,361,333
democratic,367,363,312
est,366,319,210
touch,365,349,322
program,365,351,329
nearly,365,357,327
l,365,303,221
flying,365,363,328
respiratory,364,359,306
consider,363,352,318
traveller,362,338,309
starting,361,361,334
40,361,348,312
small,360,347,317
remains,359,354,319
feeling,359,350,324
april,359,346,317
17,359,324,284
returned,358,339,297
led,358,357,324
key,358,355,321
heard,358,353,332
dems,357,301,240
golf,355,351,303
conversation,355,351,341
agree,355,352,328
rep,354,332,284
poor,354,347,321
announcement,354,350,309
500,354,347,310
spain,353,335,264
declares,353,353,300
allowing,353,352,320
exposure,352,348,308
protecting,351,309,288
severe,350,340,281
danger,350,339,303
wall,348,333,297
waiting,348,337,314
passed,348,345,314
arent,348,344,323
abpoli,348,348,239
tried,347,337,300
asian,347,311,285
law,346,315,298
fast,346,320,270
drop,346,332,299
spoke,345,345,309
jan,345,322,289
irresponsible,344,341,319
delay,344,318,292
attended,344,336,297
regarding,343,341,315
older,343,324,294
disaster,343,335,287
ability,343,330,298
treat,342,322,301
fall,342,327,291
effect,342,336,310
though,341,336,305
site,341,326,304
playing,341,330,299
mind,340,337,310
mild,340,328,294
fault,340,247,225
turned,339,338,305
reduce,339,330,297
medicine,339,323,293
warned,338,334,275
quarter,338,336,286
fine,338,336,308
equipment,338,336,294
aggressive,338,333,297
study,337,325,281
sarscov2,336,322,201
canceled,336,328,298
straight,335,333,308
saturday,335,333,293
excuse,335,328,298
doug,335,333,293
caused,335,319,287
selfisolation,334,326,293
clinic,334,322,284
plus,333,312,261
list,333,324,303
additional,333,326,299
recent,332,330,302
exactly,332,330,307
pretty,331,330,306
middle,331,324,296
along,330,323,301
focus,329,312,286
ensure,329,327,297
refuse,328,322,298
afford,328,321,281
bonnie,327,324,236
mcconnell,326,318,280
experience,326,314,291
removed,325,324,296
relief,325,301,275
presumptive,325,318,268
hurt,324,307,281
comment,324,315,288
23,324,317,296
super,323,314,277
stigma,323,257,38
practice,323,312,295
happens,323,314,291
thinking,322,318,302
staying,322,315,294
finally,322,318,295
created,322,320,303
showing,321,317,290
term,319,304,281
maralago,319,309,259
john,319,313,283
remain,318,309,290
normal,317,313,286
recommendation,316,310,282
prevention,316,312,281
worth,315,309,287
planning,314,308,299
piece,314,303,279
wish,313,298,280
joke,313,302,279
join,313,311,283
couple,313,313,292
selfisolate,312,310,276
curve,312,299,272
recovered,311,302,259
notice,311,310,286
benefit,311,305,287
living,309,302,272
flattenthecurve,309,307,273
fan,309,288,248
viral,308,299,252
longer,308,304,269
google,308,255,223
facing,308,306,284
donated,308,303,258
22,308,307,278
return,307,302,278
presidential,307,304,279
coronavirusupdate,307,306,235
physician,306,290,268
explain,306,289,275
email,306,300,284
earlier,306,304,278
ad,306,295,241
victim,305,294,245
contract,305,293,276
2018,305,297,267
spending,304,299,274
mayor,304,294,260
date,304,297,267
25,304,298,266
stuff,303,297,274
ny,303,294,244
bar,303,295,276
appears,303,299,278
2019,303,299,270
parent,302,288,263
create,302,291,267
journalist,301,285,255
strategy,300,287,262
secret,300,296,268
parliament,300,252,227
offer,300,295,277
helped,300,293,281
private,299,289,262
milan,299,294,272
collapse,299,293,264
socialdistancing,298,297,275
interesting,298,296,278
closure,298,290,259
banned,298,250,236
trade,297,281,259
dog,297,188,169
building,297,287,258
released,296,293,277
example,296,294,276
failing,295,289,266
development,295,294,267
warns,294,294,259
youtube,293,292,173
tool,293,270,253
rule,293,289,265
damn,293,287,260
basic,293,274,258
strain,292,273,244
opinion,292,290,256
german,292,239,226
crowd,292,284,267
sound,291,286,266
sorry,291,280,269
role,291,290,268
cold,291,279,264
learned,290,288,261
british,290,288,248
v,289,244,215
son,289,275,253
northern,289,280,225
communication,289,286,272
dollar,288,268,251
add,288,278,260
saudi,287,277,241
onevoice1,287,287,151
minute,287,275,258
gave,287,287,264
okay,286,273,262
hhsgov,286,286,228
angeles,286,278,224
yeah,285,282,264
senator,285,276,224
often,285,282,266
grocery,285,272,250
alone,285,274,255
travelled,284,251,233
prison,284,262,227
chain,284,277,230
reelection,283,280,247
growth,283,272,245
figure,283,280,260
build,283,281,272
b,283,270,246
attention,283,280,260
tv,282,277,256
lung,282,221,195
beginning,282,280,257
ordered,281,274,252
employer,281,278,258
weve,280,269,252
totally,280,276,262
similar,280,278,254
protective,280,277,231
particularly,280,280,257
jkenney,280,279,210
crazy,280,277,252
blaming,280,256,229
bipartisan,280,280,252
watching,279,276,257
seasonal,279,271,221
san,279,273,219
pharma,279,273,243
beijing,279,273,209
amazing,279,274,258
win,278,240,217
recession,278,263,243
mitch,278,254,224
military,278,257,218
decided,278,266,252
court,278,269,247
100000,278,267,235
saw,277,270,246
five,277,273,252
include,276,276,259
identified,276,270,243
gt,276,250,122
ten,275,273,247
linked,275,273,230
holy,275,271,258
doc,275,237,220
ccp,275,235,135
regular,274,266,247
happy,274,268,254
guidance,274,270,229
european,274,249,229
discus,274,273,252
secretary,273,240,218
preventing,273,273,252
pathetic,273,243,216
actual,273,269,236
28,273,271,226
young,272,256,244
propaganda,272,267,229
november,272,265,247
epicenter,272,272,246
difference,272,267,254
realize,271,271,252
nba,271,255,234
interview,271,268,238
illegal,271,262,232
speak,270,264,246
roll,270,266,254
hot,270,266,228
hearing,270,256,234
brought,270,268,256
voted,269,255,225
lombardy,269,248,224
book,269,251,234
fire,268,262,251
urgent,267,263,237
special,267,255,245
shameful,267,265,242
reached,267,267,241
star,266,252,230
ministry,266,255,225
fired,266,260,233
developing,266,266,248
send,265,261,251
perfect,265,212,195
apparently,265,262,246
survive,264,204,196
smart,264,260,237
player,264,241,215
estimate,264,234,200
door,264,255,241
donates,264,264,213
church,264,197,180
wasnt,263,257,240
drtedros,263,251,136
colleague,263,256,235
potentially,262,262,235
mouth,262,260,234
expected,262,259,239
complete,262,260,239
1st,262,252,225
unless,261,258,239
preparing,261,260,236
space,260,256,232
nyc,260,253,224
losing,260,254,244
fully,260,257,245
coast,260,253,236
accurate,260,246,223
33,260,256,211
torontostar,259,257,216
nih,259,248,201
isolated,259,248,236
icu,259,234,203
forward,259,259,240
zone,258,237,206
stake,258,257,220
raising,258,257,161
h1n1,258,239,216
sunday,257,255,230
helping,257,254,236
town,256,253,230
product,256,249,233
wtf,255,253,227
belief,255,254,237
une,254,224,144
minimize,254,254,239
contracted,254,243,213
short,253,247,235
reach,253,251,220
insane,253,251,235
il,253,215,150
coronaviruspandemic,253,252,215
touching,252,222,206
police,252,244,219
average,252,247,240
yyc,251,251,151
temporarily,251,249,233
quebec,251,244,205
direct,251,250,228
society,250,245,231
shook,250,239,207
multiple,250,243,221
albertans,250,237,178
surge,249,241,212
resign,249,249,223
harper,249,176,154
forget,249,248,235
dow,249,230,207
wake,248,245,229
returning,248,243,227
protection,248,230,213
fda,248,220,185
double,248,247,231
cleaning,248,221,208
analysis,248,248,219
scared,247,227,208
language,247,244,232
cphocanada,247,245,149
ceo,247,239,212
18,247,246,226
forced,246,238,217
eye,246,244,225
began,246,246,225
adult,246,238,221
vice,245,244,211
killing,245,242,227
significant,244,242,230
universal,243,174,169
union,243,234,218
tech,243,235,213
ground,243,231,189
empty,243,239,228
wear,242,234,211
nobody,242,221,206
near,242,241,222
gate,242,218,192
con,242,220,165
west,241,235,208
ted,241,230,200
push,241,238,219
midst,241,241,220
trudeaus,240,239,212
transit,240,227,202
kushner,240,229,201
suspended,239,236,226
pa,239,211,145
inside,239,235,213
damage,239,210,195
ucp,238,218,161
nep,238,207,204
msm,238,219,186
holding,238,237,216
announce,237,234,220
jared,236,230,199
count,236,227,200
updated,235,233,223
hysteria,235,233,205
harm,235,230,216
sophie,234,227,212
influenza,234,220,193
downtown,234,230,220
calgary,234,224,182
amount,234,228,217
worked,233,223,204
infect,233,228,214
criminal,233,224,196
whatever,232,231,220
shift,232,227,213
paul,232,202,167
ongoing,232,232,217
impose,232,232,224
greater,232,230,214
denied,232,232,210
quite,231,224,206
pressure,231,230,215
moron,231,231,207
gone,231,227,217
decade,231,230,216
26,231,229,213
shot,230,220,205
publicly,230,230,199
offered,230,230,208
wore,229,155,147
scare,229,222,199
lol,229,209,181
taxpayer,228,225,214
lower,228,226,209
fly,228,223,207
lesson,227,223,206
highest,227,224,212
havent,227,226,207
bernie,227,212,185
affect,227,221,207
surgeon,226,212,199
preparedness,226,220,198
largest,226,223,209
ireland,226,204,126
internet,226,218,200
custom,226,225,218
beyond,226,224,211
singapore,225,222,184
prayer,225,209,190
possibly,225,224,209
percent,225,194,181
mp,225,198,180
monitor,225,225,213
continued,225,225,211
3000,225,224,204
27,225,223,205
sur,224,198,146
qui,224,198,134
lecture,224,222,217
heart,224,223,210
clearly,224,222,207
10000,224,224,207
shaking,223,216,197
nytimes,223,223,190
mark,223,219,200
ignore,223,217,196
delayed,223,210,195
ukraine,222,212,193
la,222,210,161
handled,222,212,196
ventilator,221,197,182
unity,221,221,219
supposed,221,215,201
nice,221,219,213
main,221,216,206
kenney,221,210,167
facebook,221,214,197
deep,221,218,198
considering,221,220,210
account,221,210,201
125,221,221,213
rapid,219,216,206
rail,219,214,195
opportunity,219,218,209
liar,219,208,187
hostage,219,216,206
crash,219,205,196
writes,218,218,195
traveler,218,206,188
sold,218,216,201
quick,218,211,176
frontline,218,216,201
bit,218,213,201
retweet,217,215,204
mexico,217,192,173
letter,217,207,192
fordnation,217,214,178
eu,217,199,159
begin,217,213,201
whose,216,213,201
sport,216,203,178
postponed,216,214,188
page,216,208,197
hunter,216,206,195
downplay,216,215,199
body,216,209,191
assessment,216,208,193
visited,215,215,194
spring,215,205,193
reuters,215,211,138
hhs,215,213,185
headline,215,207,198
voter,214,201,191
sending,214,211,200
migrant,214,204,179
mar,214,187,162
afternoon,214,212,194
admitted,214,213,201
walk,213,208,196
uninsured,213,209,184
includes,213,208,194
claiming,213,211,206
azar,213,183,157
suggests,212,211,192
originated,212,194,172
michael,212,187,174
criticism,212,211,188
coronavirususa,212,212,157
as,212,205,193
urge,211,208,195
simple,211,207,195
recommend,211,211,199
q,211,179,161
production,211,187,174
moving,211,210,205
moved,211,211,203
opposition,210,209,174
omg,210,150,139
cruz,210,191,169
consequence,210,210,199
abhealth,210,210,150
xenophobia,209,209,196
red,209,175,167
prisoner,209,195,171
paying,209,208,202
met,209,207,199
increasing,209,207,191
helpful,209,209,196
disgusting,209,193,183
catch,209,203,196
becomes,209,203,186
ap,209,206,172
swine,208,198,190
suggest,208,207,185
stopping,208,207,190
jesus,208,207,197
ht,208,208,136
